name,rate,location,description
BETHLEHEM PALESTINE BED & BREAKFAST,,"Bayt Sāḩūr
– اعرض على الخارطة",يقع BETHLEHEM PALESTINE BED & BREAKFAST في بايت صاحب ويوفر مكان إقامة مع خدمة الواي فاي المجانية وحديقة مع مرافق الشواء وإطلالات على الجبل، وتتوفر منطقة للجلوس وتناول الطعام في جميع الوحدات.
فندق ذا وولد أوف,9.5,"بيت لحم
– اعرض على الخارطة",يقع The Walled Off Hotel بجوار الجدار الفاصل في بيت لحم، حيث تزود فلسطين الزائرين بشعور قوي بالتاريخ والروحانية والعاطفة.
فندق نورث جيت,,"Janīn
– اعرض على الخارطة",يقع North Gate Hotel في Janīn ويضم مسبح موسمي في الهواء الطلق. تحتوي جميع الغرف على تلفزيون مع قنوات فضائية وحمام خاص. يوفر مكان الإقامة مكتب استقبال يعمل على مدار 24 ساعة.
وليد هوستيل,6.5,"أريحا
– اعرض على الخارطة",يقع Jericho Waleeds Hostel على بعد 15 دقيقة من البحر الميت و1.6 كم من وسط المدينة و15 دقيقة سيرًا على الأقدام من الأماكن المقدسة مثل جبل التجربة ودير القديس جورج ونهر الأردن وغيرها.
أوبرجإن - ذا هاوس أوف إغبلانتس,8.7,"أريحا
– اعرض على الخارطة",يقع دار الضيافة نزل الأوبرج عند سفح جبل الأربعين في مدينة أريحا التاريخية في فلسطين. ويقدم مكان الإقامة هذا أماكن إقامة للأفراد والجماعات من المسافرين في بيت عائلة عربية من طابقين تم بناءه في عام...
Ankars Suites & Hotel,8.2,"رام الله
– اعرض على الخارطة",يقع Ankars Suites & Hotel في رام الله، ويوفر مكان إقامة ذو 4 نجوم مع مركز للياقة البدنية وحديقة وتراس. تشمل نقاط الاهتمام الشهيرة حول مكان الإقامة مركز خليل السكاكيني الثقافي والمجلس الثقافي...
هيروديون غيستهاوس,9.3,"بيت لحم
– اعرض على الخارطة",يقع Herodion Guesthouse في بيت لحم على بعد 700 م من كنيسة المهد ويتميز بمرافق للشواء، يقع مكان الإقامة بالقرب من العديد من المعالم السياحية الشهيرة، على بعد حوالي 700 م من مغارة الحليب وحوالي 700 م من...
Assaraya Palace Hotel,8.4,"بيت لحم
– اعرض على الخارطة",يقع فندق Assaraya Palace في بيت لحم، على بُعد 700 م من قبر راشيل، وعلى بُعد 1.3 كم من جامعة بيت لحم، ويوفر غرفًا مع خدمة الواي فاي مجانًا. يحتوي هذا الفندق ذو الـ 3 نجوم على غرف مكيفة مع حمام خاص.
Auja River Resort,,"Uja e-Tahta
– اعرض على الخارطة",يقع Auja River Resort في Uja e-Tahta ويوفر خدمة الواي فاي المجانية. يمكن للضيوف الاستفادة من الحديقة. تحتوي جميع غرف الضيوف في بيت الضيافة على تلفزيون بشاشة مسطحة.
Meryland Hotel,,"رام الله
– اعرض على الخارطة",يقع فندق ميريلاند في رام الله، ويوفر خدمة الواي فاي المجانية. يقع مكان الإقامة على بعد 300 م من ساحة المنارة و400 م من معهد غوته. يضم مكان الإقامة مطعمًا. تحتوي الغرف في الفندق على غلاية.
دار المجوس,9.5,"بيت لحم
– اعرض على الخارطة",يقع Dar al Majus في بيت لحم على بعد خطوات قليلة من ساحة المهد و200 م من St. كنيسة كاترين.
إريا دي هوستيل,8.9,"رام الله
– اعرض على الخارطة",يقع إريا دي هوستيل في موقع مركزي في رام الله ويوفر خدمة الواي فاي مجاناً، ويتميز بمكتب استقبال يعمل على مدار 24 ساعة ومطعم للوجبات الخفيفة الذي يقدم الوجبات الخفيفة بالإضافة إلى صالة كبيرة مشتركة...
بيت شباب Habibi,9.0,"بيت لحم
– اعرض على الخارطة",يقع Habibi Hostel في بيت لحم على بعد 1.9 كم من ساحة المهد، ويضم غرف مع إطلالات على الحديقة وخدمة الواي فاي المجانية. يقع مكان الإقامة على بعد 2 كم من مسجد عمر و2.1 كم من St. كنيسة كاترين.
فندق ذا داياموند - بيت لحم,8.7,"بيت لحم
– اعرض على الخارطة",يقدم فندق ذا داياموند - بيت لحم مكان إقامة 4 نجوم في بيت لحم، على بعد 400 متر من قبر راحيل وعلى بعد مسافة قصيرة سيراً على الأقدام من كل من مركزي مدينة القدس وبيت لحم، ويوفر خدمة الواي فاي مجاناً في...
فندق مغطس,8.2,"أريحا
– اعرض على الخارطة",يقع فندق Magtas في أريحا، ويتميز بمسبح موسمي في الهواء الطلق وخدمة الواي فاي المجانية، يضم مكان الإقامة حديقة وصالة مشتركة.
Aman Hostel,9.5,"بيت لحم
– اعرض على الخارطة",يقع Aman Hostel في بيت لحم ويوفر خدمة الواي فاي المجانية، يقع مكان الإقامة هذا على بعد مسافة قصيرة من مناطق الجذب مثل مسجد عمر. يضم بيت الضيافة صالة مشتركة.
Al Baiara Resort,,"أريحا
– اعرض على الخارطة",يوفر منتجع Al Baiara مكان إقامة في أريحا، ويضم مكان الإقامة مكتب استقبال يعمل على مدار الساعة، كما يرحب بالضيوف مع مطعم ومسبح في الهواء الطلق. يضم المنتجع حديقة ويوفر مرافق الشواء.
فندق كارميل,9.0,"رام الله
– اعرض على الخارطة",يقع فندق كارميل في رام الله، ويوفر مكان إقامة ذو 5 نجوم مع مركز للياقة البدنية وحديقة، ويشتمل على مكتب استقبال يعمل على مدار الساعة ومطعم.
Sunrise Hotel,,"بيت لحم
– اعرض على الخارطة",يقع فندق صن رايز في بيت لحم على بعد 300 م من مسجد عمر، ويحتوي على بار وخدمة الواي فاي المجانية. يقع مكان الإقامة على بعد 400 م من ساحة المهد وعلى بعد 700 م من St.
Habibi Hostel Ramallah,9.3,"رام الله
– اعرض على الخارطة",يقع Habibi Hostel Ramallah في رام الله في مبنى يعود تاريخه إلى عام 1920 ويوفر حديقة وغرف ضيوف مع خدمة الواي فاي مجاناً، وتم بناء مكان الإقامة في عام 1920، ويقع على بعد 500 م فقط من ساحة المنارة و600 م...
innova8ion,9.0,"بيت لحم
– اعرض على الخارطة",يقع Innova8ion في بيت لحم، ويوفر أماكن إقامة مع تراس وبار. يقع الفندق على بعد حوالي 1 كم من كنيسة المهد و1 كم من مغارة الحليب. ويمكن للضيوف الاستمتاع بإطلالات على الجبل.
دار سيتي أزيزا,9.8,"بيت لحم
– اعرض على الخارطة",يقع Dar Sitti Aziza في بيت لحم ويوفر أماكن إقامة تقليدية فريدة. وتتوفر خدمة الواي فاي المجانية في الغرف. تحتوي الغرفة على تلفزيون بشاشة مسطحة وتكييف وميني بار.
Bethlehem Suites,,"بيت لحم
– اعرض على الخارطة",يقع Bethlehem Suites في بيت لحم، ويضم تراس وبار وخدمة الواي فاي المجانية. يقع النزل على بعد حوالي 800 م من ساحة المهد وعلى بعد أقل من 1 كم من كنيسة سانت كاترين.
Chez William,,"بيت لحم
– اعرض على الخارطة",يقع Chez William في بيت لحم ويوفر مكان إقامة على بعد 600 م من مسجد عمر وعلى بعد 600 م من كنيسة سانت كاترين. وتتوفر خدمة الواي فاي المجانية. يمكن للضيوف في المبيت والإفطار الاستمتاع ببوفيه إفطار.
سامي هوستيل,6.9,"أريحا
– اعرض على الخارطة",يقع بيت شباب سامي في أريحا، ويضم حديقة وصالة مشتركة وبار وخدمة الواي فاي المجانية. ويمكن للموظفين في الموقع ترتيب خدمات نقل المطار. وتحتوي بعض الغرف على مطبخ مع ثلاجة.
Bethlehem Land Hostel,,"بيت لحم
– اعرض على الخارطة",يقع بيت لحم بيت لحم في بيت لحم على بعد 1.4 كم من قبر راشيل وعلى بعد 2 كم من ساحة المهد وعلى بعد 2.1 كم من كنيسة سانت كاترين، يقع مكان الإقامة على بعد 2.3 كم من مسجد عمر وعلى بعد 2.3 كم من كنيسة المهد....
أناستاس المحاط بالأسوار,8.3,"بيت لحم
– اعرض على الخارطة",يوفر أناستاس المُحاط بالأسوار حديقة وأماكن إقامة مع مطبخ في بيت لحم. كما تتوفر خدمة الواي فاي مجاناً. يمكن للضيوف في مكان المبيت والإفطار الاستمتاع بوجبة إفطار آسيوية.
فندق ميرادور,7.7,"رام الله
– اعرض على الخارطة",يقع فندق Mirador المطل على رام الله، عاصمة فلسطين، على تلال منطقة Al-Tireh Region. ويضم مكتب استقبال يقدم خدماته على مدار 24 ساعة في اليوم، وتراسا شمسيا وخدمة الواي فاي المجانية ومواقف مجانية...
فندق قصر جاسر,6.5,"بيت لحم
– اعرض على الخارطة",يقع Jacir Palace على بعد 200 متر من قبر راشيل ويتميز بواجهة جميلة فخمة وساحة فناء ساحرة مع أشجار النخيل. يمكن للضيوف الاسترخاء في المسبح في الهواء الطلق أو في سبا.
Yallah Ramallah,,"رام الله
– اعرض على الخارطة",يقع Yallah Ramallah، وهو مكان إقامة مع حديقة وتراس، في رام الله، على بعد أقل من 1 كم من Mukataa، وعلى بعد 13 دقيقة سيراً على الأقدام من ساحة المنارة، وعلى بعد 1.2 كم من معهد غوته.
البراق أريبيانز,9.5,"بيت لحم
– اعرض على الخارطة",يتميز Al Buraq Arabians بأماكن إقامة مع حديقة وخدمة الواي فاي المجانية. تحتوي الوحدات على فناء وتلفزيون وحمام خاص مع بيديه ولوازم استحمام مجانية.
فندق المنارة,7.3,"رام الله
– اعرض على الخارطة",يتميز فندق المنارة بغرف في رام الله، ويقع الفندق على بُعد حوالي 90 متر من ساحة المنارة، وعلى بُعد 200 متر من معهد جوته، فيما يوفر خدمة الواي فاي المجانية، كما يقع مكان الإقامة على بُعد 400 متر من...
Eli Guest House,,"بيت لحم
– اعرض على الخارطة",يقع Eli Guest House على بعد 2.2 كم من كنيسة المهد ويضم غرف مع تكييف في بيت لحم. يحتوي مكان الإقامة على تراس وصالة مشتركة وبار. وتتوفر خدمة الواي فاي المجانية.
بونكسورفينغ هوستل,8.1,"بيت لحم
– اعرض على الخارطة",يوفر Bunksurfing Hostel مكان إقامة يسمح باصطحاب الحيوانات الأليفة في بيت لحم، تقع ساحة المهد وكنيسة المهد على بعد حوالي 850 م من Bunksurfing Hostel. وتحتوي الغرف على تراس وسطح.
"Private Room in Cozy Apartment in Aida Camp, Bethlehem",,"بيت لحم
– اعرض على الخارطة","تقع Private Room in Cozy Apartment in Aida Camp, Bethlehem على بعد 2.4 كم من ساحة المهد وعلى بعد 2.4 كم من مسجد عمر في بيت لحم وتوفر مكان إقامة مع مطبخ، كما يتوفر للضيوف شرفة خاصة. St."
Jericho Paradise Resort,2.8,"أريحا
– اعرض على الخارطة",يقع منتجع أريحا بارادايس في أريحا، ويوفر غرفاً مكيفة مع خدمة الواي فاي المجانية. ويضم مكان الإقامة هذا مكتب استقبال يعمل على مدار الساعة، كما يوفر للضيوف حديقة مائية. يمكن للضيوف الاستفادة من الحديقة....
Ramallah Modern Apartment,,"رام الله
– اعرض على الخارطة",تقع Ramallah Modern Apartment على بعد حوالي 500 م من المجلس البريطاني، وتوفر مكان إقامة مع تراس وشرفة وإطلالات على الحديقة. يقع مكان الإقامة على بعد 800 م من ساحة المنارة.
بيت ضيوف سينما جنين,,"نابلس
– اعرض على الخارطة",يقع Cinema Jenin Guesthouse في نابلس، ويضم حديقة ويوفر خدمة الواي فاي مجانًا. ويضم مكان الإقامة هذا مطبخًا مشتركًا ومطعمًا. ويمكن للموظفين في الموقع ترتيب خدمات نقل المطار.
Mod Apartment,9.5,"رام الله
– اعرض على الخارطة",تقع Mod Apartment في رام الله على بعد 2.4 كم من موكاتا وتتميز بمكان إقامة مع تراس وخدمة الواي فاي مجاناً، يقع مكان الإقامة هذا على بعد 2.9 كم من ساحة المنارة.
Royal Court Suites,8.4,"Ramallah
– اعرض على الخارطة",يقع هذا الفندق في موقع مركزي في قلب مدينة رام الله، على بعد 10 دقائق مشياً على الأقدام من مركز خليل السكاكيني الثقافي. تحتوي جميع الغرف والأجنحة الواسعة على شرفة وتلفزيون ذي شاشة مسطحة.
هاوس أوف بيس,8.1,"بيت لحم
– اعرض على الخارطة",يقع House of Peace في قلب مدينة بيت لحم، على بُعد دقائق قليلة بالسيارة من وسط المدينة، ويوفر خدمة الواي فاي المجانية في جميع أنحاء الفندق ويضم غرفة ألعاب مع طاولة بلياردو ومكتبًا للجولات السياحية.
فندق الأجنحة الملكية,8.3,"نابلس
– اعرض على الخارطة",يقع رويال سويتس في نابلس، ويضم تراس وبار. ويوفر هذا الفندق ذو الـ 5 نجوم مكتب استقبال يعمل على مدار الساعة. يوفر مكان الإقامة خدمة الغرف ومكتب للجولات السياحية وخدمة تحويل العملات للضيوف.
بيت ضيافة سوفان,9.9,"نابلس
– اعرض على الخارطة",يقع Soufan Guest HOUSE في نابلس، ويضم تراس. تحتوي جميع الغرف على مطبخ وحمام مشترك. وتتوفر خدمة الواي فاي المجانية. تحتوي غرف الضيوف في بيت الضيافة على منطقة جلوس. توفر جميع الغرف للضيوف ميكروويف.
Chez william,,"بيت لحم
– اعرض على الخارطة",يوفر Chez william مكان إقامة مع خدمة الواي فاي المجانية في بيت لحم، ويتمتع بموقع جيد على بعد 600 م من كنيسة سانت كاترين وعلى بعد 700 م من ساحة المهد.
شقة في حي بيت لحم,7.9,"بيت لحم
– اعرض على الخارطة",تقع Apartment In Bethlehem District في بيت لحم، يقع مسجد عمر على بعد 2.6 كم من الشقة. تتكون الشقة من مطبخ مجهز بالكامل وحمام واحد. تقع ساحة المهد على بعد 2.7 كم من الشقة.
منتجع قرية أريحا السياحية,8.3,"أريحا
– اعرض على الخارطة",يتميز منتجع Jericho Village بموقع مثالي في المدخل الشمالي إلى أريحا، ويشتمل على أماكن إقامة عصرية ومسبح في الهواء الطلق ومطعم يُقدم بوفيه إفطار، وتتوفر خدمة الواي فاي المجانية في جميع المناطق.
بيت شباب في رام الله,8.5,"رام الله
– اعرض على الخارطة",يقع Hostel in Ramallah في مدينة رام الله، على بعد دقيقتين سيراً على الأقدام من وسط المدينة.
house in the centre of Bethlehem,,"بيت لحم
– اعرض على الخارطة",يقع على بعد 200 م من St. تقع كاثرين تشيرش، المنزل في وسط بيت لحم، وتوفر مكان إقامة مع خدمة الواي فاي المجانية في بيت لحم، تشمل نقاط الاهتمام الشهيرة حول مكان الإقامة كنيسة المهد ومغارة الحليب.
Beit Sahour high quality apartment - Bethlehem,,"Bayt Sāḩūr
– اعرض على الخارطة",تقع شقة Beit Sahour عالية الجودة - بيت لحم في بايت صاحب. يمكن للضيوف المقيمين في هذه الشقة الوصول إلى مطبخ مجهز بالكامل. تحتوي الشقة على غرفة معيشة وحمام واحد مع لوازم استحمام مجانية ودش.
Ramallah Modern Apartment 2,,"رام الله
– اعرض على الخارطة",يقع Ramallah Modern Apartment 2 في رام الله على بعد 400 م من المجلس البريطاني، وهو مكان إقامة يوفر إطلالات على المدينة. يمكن للضيوف المقيمين في هذه الشقة الوصول إلى مطبخ مجهز بالكامل.
فندق خان الوكالة,9.0,"نابلس
– اعرض على الخارطة",يوفر فندق خان الوكالة مكان إقامة في نابلس، ويتميز بخدمة الواي فاي المجانية ومطعم.
Ketf el Wad St./ Abed Majrouh House,,"أريحا
– اعرض على الخارطة",يضم Ketef el Wad St./ Abed Majrouh House in Jericho حديقة وتراس، تحتوي جميع الغرف على مطبخ وحمام مشترك. يمكن للضيوف الاستفادة من الصالة المشتركة.
إيفا هوم,,"بيت لحم
– اعرض على الخارطة",يقع Eva Home على بعد 1.9 كم من ساحة المهد في بيت لحم، ويوفر أماكن إقامة مع مطبخ. يمكن للضيوف المقيمين في هذه الشقة الوصول إلى شرفة. تحتوي الشقة على 3 غرف نوم وغرفة معيشة مع تلفزيون بشاشة مسطحة.
شقة بالقرب من وسط المدينة ومدينة الخليل القديمة,8.8,"هيبرون
– اعرض على الخارطة",يقع House close to the city center and old city of hebron في Hebron، ويضم حديقة. ويضم مكان الإقامة مطعمًا وتراسًا. وتتوفر خدمة الواي فاي المجانية. تحتوي الغرف في بيت الضيافة على منطقة جلوس.
Hayek Guest Villa,,"بيت لحم
– اعرض على الخارطة",تقع Hayek Guest Villa في بيت لحم على بعد 2.4 كم من كنيسة المهد وتتميز بمرافق للشواء وحديقة وإطلالات على الحديقة، يقع مكان الإقامة على بعد حوالي 2.4 كم من مغارة الحليب وعلى بعد 2.6 كم من تقع كنيسة...
طويل ابارتمنت,8.9,"بيت لحم
– اعرض على الخارطة",توفر Taweel Apartments مكان إقامة في بيت لحم، وتضم تراس وخدمة الواي فاي المجانية، تحتوي جميع الوحدات المكيفة على مطبخ مجهز بالكامل، مما يسمح للضيوف بإعداد وجبات الطعام الخاصة بهم.
Ibda'a Guesthouse,,"القدس الشرقية, بيت لحم
– اعرض على الخارطة",يقع Ibda'a Guesthouse في بيت لحم على بعد 2.7 كم من قبر راشيل، ويضم عدد من وسائل الراحة بما في ذلك صالة مشتركة وخدمة الواي فاي المجانية.
شارع المطار,,"Rafaḩ
– اعرض على الخارطة",شارع المطار is located in Rafaḩ.
sheperds field,,"بيت لحم
– اعرض على الخارطة",يوفر Sheperds field مكان إقامة في بيت لحم على بعد 3 كم من كنيسة المهد، يقع مكان الإقامة على بعد 3 كم من مغارة الحليب وعلى بعد 3.2 كم من كنيسة سانت كاترين.
Bethlehem guest house,,"بيت لحم
– اعرض على الخارطة",يقع بيت لحم بيت لحم على بعد 500 م من كنيسة المهد وعلى بعد 500 م من مغارة الحليب، ويوفر أماكن إقامة في بيت لحم. يقع مكان الإقامة على بعد 600 م من St. تقع كنيسة كاترين على بعد 800 م من ساحة المهد.
Near to the medical centre - Tarq Ben Zid,,"هيبرون
– اعرض على الخارطة",يقع Tarq Ben Zid بالقرب من المركز الطبي في مدينة Hebron. يقع مكان الإقامة على بعد 36 كم من القدس. يقع بيت لحم على بعد 27 كم من الشقة، في حين يقع Maale Hachamisha على بعد 49 كم.
آبراهامز هيربيرغ,8.1,"بيت لحم
– اعرض على الخارطة",يقع Abrahams Herberge في بيت لحم على بعد 3 كم من مسجد عمر وعلى بعد 3 كم من ساحة المهد، يقع مكان الإقامة على بعد مسافة قصيرة من مناطق الجذب السياحي مثل جامعة بيت لحم.
Bethlehem Palestine B&B,,"Khirbat Bayt Ta‘mīr
– اعرض على الخارطة",يقع Bethlehem Palestine B&B في خيربات بايت. وتتوفر خدمة الواي فاي المجانية. كما يتوفر مطبخ صغير مجهز بميكروويف في بعض الوحدات. تتوفر خيارات إفطار كونتيننتال وبوفيه إفطار كل صباح في المبيت والإفطار.
بيست لحم سوتس,,"بيت لحم
– اعرض على الخارطة",يقع Bestlehem Suits في بيت لحم على بعد 2.5 كم من مسجد عمر، ويوفر مكان إقامة مع خدمة الواي فاي المجانية، تم تجهيز كل وحدة بالكامل مع غسالة ملابس وتلفزيون بشاشة مسطحة وأريكة ومكتب.
فندق السلام,5.4,"بيت لحم
– اعرض على الخارطة",يقع فندق Al Salam في قلب مدينة بيت لحم، على بُعد عدة خطوات من كنيسة المهد. كما يقع الفندق على بُعد 50 متراً من محطة الحافلات، ويوفر غرفاً مُزينة ببساطة مع خدمة واي فاي مجانية.
فندق كازابلانكا رام الله,7.1,"رام الله
– اعرض على الخارطة",يقدم Casablanca Hotel Ramallah مسبح خارجي ويقع في رام الله. كما تتوفر خدمة الواي فاي المجانية. يمكن ترتيب التنظيف الجاف عند الطلب. ستوفر لك كل غرفة هنا تلفزيون بشاشة مسطحة وتكييف الهواء وقنوات فضائية....
فندق الطيبة الذهبي,8.9,"رام الله
– اعرض على الخارطة",يقع فندق الطيبة الذهبي في قرية الطيبة في محافظة رام الله، وعلى بعد 10 كم من المقاطعة، ويضم مطعم وبار ويوفر خدمة الواي فاي مجانًا في جميع مناطق مكان الإقامة.
قصر الحمراء للأجنحة الفندقية - رام الله,8.1,"رام الله
– اعرض على الخارطة",يقع Alhambra Palace Hotel Suites and Resort في رام الله، ويوفر أماكن إقامة مفروشة على نحو بسيط. ويشمل واي فاي مجانياً في جميع المناطق، بينما يبعد وسط المدينة 5 دقائق سير. تحتوي جميع الغرف على شرفة.
فندق كوين بلازا,8.5,"الخليل
– اعرض على الخارطة",يقع فندق كوين بلازا في مدينة الخليل، وعلى بُعد 15 كم من مدينة بيت لحم، ويُمكن للنزلاء الاستمتاع بالمطعم الموجود في الموقع.
Delasal Appartment,,"بيت لحم
– اعرض على الخارطة",تقع Deassal Appartment في بيت لحم على بعد 1.1 كم من ساحة المهد وعلى بعد 1.3 كم من كنيسة سانت كاترين، وتضم مرافق للشواء وحديقة. توفر هذه الشقة مكان إقامة مكيف مع تراس.
حوش الصبار,9.0,"بيت لحم
– اعرض على الخارطة",يقع حوش الصبار في بيت لحم على بعد 2.8 كم من كنيسة المهد، ويوفر غرفاً مع خدمة الواي فاي المجانية. يقع مكان الإقامة على بعد 2.8 كم من مغارة الحليب وعلى بعد 2.8 كم من مسجد عمر ويوفر حديقة وتراس.
Holy Family Guest House Beit Jala,,"بيت لحم
– اعرض على الخارطة",يقع Holy Family Guest House Beit Jala في بيت لحم على بعد 3.3 كم من مسجد عمر وعلى بعد 3.5 كم من ساحة المهد، ويضم حديقة وتراس وصالة مشتركة. The St تقع كنيسة كاترين على بعد 3.8 كم من الشقة.
2 Minutes Walk from The Center of Bethlehem,,"بيت لحم
– اعرض على الخارطة",يقع مكان الإقامة على بعد دقيقتين سيرا على الأقدام من مركز بيت لحم، وعلى بعد 300 م من كنيسة سانت كاترين وعلى بعد 400 م من كنيسة المهد. يمكن للضيوف المقيمين في هذه الشقة الوصول إلى مطبخ مجهز بالكامل.
فندق الرتنو,6.4,"رام الله
– اعرض على الخارطة",يقع فندق Retno في الجزء الشمالي من مدينة رام الله بمنطقة الإرسال، ضمن مجرد مسافة قصيرة بالسيارة من جامعة بيرزيت.
فيري كوايت أند فيري كلين,,"رام الله
– اعرض على الخارطة",يقع Very Quiet and Very Clean في رام الله، ويوفر أماكن إقامة مع حديقة وخدمة الواي فاي المجانية، ويبعُد 5 كم عن جامعة بيرزيت، ويبعُد 7 كم عن Mukataa، تحتوي جميع الوحدات على مطبخ مجهز بالكامل، مما يسمح...
بيت الضيافة بيت رمزي,9.3,"نابلس
– اعرض على الخارطة",يقع بيت ضيافة بيت رامزي في نابلس، ويضم تراس. تشمل المرافق المتوفرة في مكان الإقامة هذا مطعمًا ومطبخًا مشتركًا ومكتبًا للجولات السياحية، بالإضافة إلى خدمة الواي فاي مجانًا. وتضم جميع الغرف شرفة.
Shalash,,"رام الله
– اعرض على الخارطة",يقع Shalash في رام الله على بعد 700 م من Mukataa، ويوفر مكان إقامة مكيف مع شرفة وخدمة الواي فاي المجانية. تقع ساحة المنارة على بعد 1.3 كم من الشقة. ويشمل مكان الإقامة غرفة معيشة مع تلفزيون بشاشة...
Traditional Style,,"Arţās
– اعرض على الخارطة",يقع Traditional Style في آرات على بعد 12 كم من القدس ويوفر تراس وخدمة الواي فاي مجاناً، تضم جميع الوحدات منطقة جلوس ومطبخ صغير مجهز بالكامل مع مرافق الطهي المختلفة، بما في ذلك ميكروويف ومحمصة وثلاجة...
بيت ضيافة سانت اندروز -رام الله,8.7,"رام الله
– اعرض على الخارطة",يقع St Andrew’s Guesthouse Ramallah في مدينة رام الله. وتتوفر خدمة الواي فاي المجانية في جميع المناطق. تتميز جميع الغرف بمفروشات بسيطة. وتشمل المزايا الإضافية مكتباً وبياضات الأسرّة ولوازم التنظيف.
Zaid’s Home,,"بيت لحم
– اعرض على الخارطة",يقع Zaid’s Home في بيت لحم على بعد 3.9 كم من مسجد عمر، ويوفر غرفة معيشة مع تلفزيون بشاشة مسطحة وخدمة واي فاي مجانية. تقع هذه الشقة على بعد 4 كم من تقع كنيسة كاترين على بعد 4 كم من كنيسة المهد.
Cypress Tree Apartments,,"بيت لحم
– اعرض على الخارطة",تقع شقق Cypress Tree في بيت لحم مع قبر راشيل القريب، وتوفر مكان إقامة مع خدمة الواي فاي المجانية.
ذا رام الله غاردن سبوت,,"رام الله
– اعرض على الخارطة",يقع The Ramallah Garden Spot في رام الله على بعد 1.9 كم من المجلس الثقافي البريطاني وعلى بعد 2 كم من ساحة المنارة ويوفر خدمة الواي فاي المجانية وتكييف الهواء، يقع مكان الإقامة على بعد 2.2 كم من معهد...
