name,rate,location,description
ديجوفيلي المالديف,9.4,"ديجوراه
– اعرض على الخارطة",يقع Dhiguveli Maldives في Dhigurah، ويوفر أماكن إقامة ذات 3 نجوم مع منطقة شاطئ خاص وحديقة وتراس. توفر جميع أماكن الإقامة في بيت الضيافة ذو الـ 3 نجوم إطلالات على الحديقة وخدمة الواي فاي مجانًا.
ذا ريزيدنس مالديف,9.1,"Maamendhoo
– اعرض على الخارطة",يقع Residence Maldives في جزيرة فالهومافوشي الجميلة. يرحب بالضيوف مع غرف مفروشة بشكل فاخر مزودة بتراس خاص وخدمة الإنترنت المجانية. كما يمكن للضيوف الاستمتاع بالدخول المجاني إلى المسبح في الهواء الطلق....
بولميريا مالديف,8.9,"Thinadhoo
– اعرض على الخارطة",يقع بولميريا مالديف في ثينادهو كافو أتول ويوفر مسبح داخلي ومطعم، كما تتوفر خدمة الواي فاي مجاناً، وتحتوي جميع الغرف على تكييف وشرفة وحوض استحمام ساخن، كما تتوفر طاولة لتناول الطعام، ويشتمل الحمام...
Season Paradise,8.4,"ثولوسدو
– اعرض على الخارطة",يقع Season Paradise في ثولوسدو، ويتميز بمنطقة شاطئ خاصة ومسبح خارجي، كما تشمل المرافق المختلفة مركز للياقة البدنية وحديقة، وتضم بعض الوحدات في مكان الإقامة هذا فناء مع إطلالة على البحر.
منتجع أنانتارا ديجو الملديف,8.9,"غولهي
– اعرض على الخارطة",يحاط أنانتارا زيغو مالديف ريزورت بشاطئ رمال ناعمة بيضاء في جزيرة ديجوفينولو في ماليه أتول الشمالية في جزر المالديف ويقع على بعد 35 دقيقة بالقارب السريع من المطار الدولي لمناطق الجزيرة، وتتم مشاركة...
كيها بيتش,8.9,"دارافاندهو
– اعرض على الخارطة",يقع كيها بيتش في فينولهوس في منطقة با أتول، وعلى بعد 15 كم من با أتول، ويتميز بمسبح خارجي وإطلالات على البحر. ويضم الفندق مرافق للشواء ومنطقة شاطئ خاصة، ويمكن للضيوف الاستمتاع بتناول وجبة في المطعم.
بيت ضيافة ثوندي,9.2,"فوليدهو
– اعرض على الخارطة",يقع Thundi Guest House على شاطئ رملي ذو مياه بحر نقية كريستالية، ويوفر أماكن إقامة بسيطة في جزيرة فوليدو. يبعد مكان الإقامة مسافة 250 متر عن كهف فوليدو وعن رييف تيب فارو كولو.
فندق كونستانس مووفوشي مالديفز - شامل كلياً,9.6,"هيماندهو
– اعرض على الخارطة",يمثل منتجع كونستانس موفيسي ملاذًا فاخرًا على الشاطئ في الشعب الحلقية ساوث أري أتول لجزر المالديف، وهو محاط بالشواطئ الرملية البيضاء والبحيرات ذات المياه الكرستالية النقية.
The St. Regis Maldives Vommuli Resort,9.1,"دالو أتول
– اعرض على الخارطة",يقع The St. Regis Maldives Vommuli Resort على مساحة 90000 متر مربع من حدائق استوائية مورقة ورمال بيضاء ناعمة وبحيرات شاطئية فيروزية كما يعتبر مكان الإقامة الأول في سلسلة St.
أنانتارا فيلي مالديف ريزورت,9.2,"غولهي
– اعرض على الخارطة",يمكنكم الاستمتاع بالرمال البيضاء والمياه الزرقاء في منتجع أنانتارا فيلي التي ستوفر لكم المكان الأمثل إذا كنتم تبحثون عن جزيرة جميلة تتميز بالبساطة الأنيقة في أجواء استوائية ساحرة للبالغين فقط، كما...
بيت الضيافة أمازينغ فيو,9.3,"ثودو
– اعرض على الخارطة",يقع بيت ضيافة Amazing View على جزيرة Thoddoo في Alif Alif، ويوفر غرفًا عصرية مكيفة مع حمام خاص، يتوفر موظفين ودودين على مدار الساعة. ويوفر منطقتين شاطئيتين خاصين تسمح للسياح بحمام شمسي.
منتجع مالاهيني كودا باندوس,8.5,"نورث ماليه آتول
– اعرض على الخارطة",يقع منتجع مالاهيني كودا باندوس في مدينة ماليه ويوفر مركز سبا ومنطقة شاطئ خاصة، ويضم المنتجع حوض استحمام ساخن ومرافق للرياضات المائية ويمكن للضيوف الاستمتاع بتناول وجبة طعام في المطعم.
باندوس مالديف,8.7,"نورث ماليه آتول
– اعرض على الخارطة",يعتبر منتجع باندوس جزيرة خاصة ويقع على بعد 8 كم من ماليه، ويتميز باندوس مالديف بغرف واسعة مع شرفات تطل على الحديقة أو الشاطئ، كما يتوفر مركز للرياضات المائية ومدرسة للغوص، فيما يحتوي هذا الفندق على...
نزل نيمو,9.3,"أومادهو
– اعرض على الخارطة",يقع Nemo Inn في Omadhoo ويضم منطقة شاطئ خاص وحديقة. ويضم مكان الإقامة مكتب استقبال يعمل على مدار 24 ساعة، ويرحب بالضيوف أيضاً مع مطعم على السطح يوفر إطلالات على البحر وملعب للأطفال.
أيلاند بريك,9.7,"فوليدهو
– اعرض على الخارطة",يضم Island Break in Fulidhoo منطقة شاطئ خاص ومرافق للشواء. تشمل المرافق المتوفرة في مكان الإقامة هذا مطعمًا وخدمة نقل مكوكية مجانية ومكتب استقبال يعمل على مدار الساعة، بالإضافة إلى خدمة الواي فاي...
بليس ديغورا,9.3,"ديجوراه
– اعرض على الخارطة",يقع بليس ديغورا في ديغورا، ويوفر تراس تشمس ومنطقة شاطئ خاص، ويضم الفندق حوض استحمام ساخن ومركز لياقة بدنية، ويمكن للضيوف الاستمتاع بتناول وجبة طعام في المطعم، كما تتوفر خدمة واي فاي مجانية.
منتجع وسبا صن آيلاند,8.9,"ماميغيلي
– اعرض على الخارطة",يتميز منتجع وسبا صن آيلاند الفاخر بـ9 خيارات لتناول الطعام ويضم مسبح خارجي ويوفر خدمة الواي فاي مجانًا، وتحتوي جميع الفيلات الواسعة على شرفة وتلفزيون مع قنوات الكابل.
Athiri Beach Maldives,8.8,"ديجوراه
– اعرض على الخارطة",يقع Athiri Beach Maldives على جزيرة ديغورا بمنطقة أتول منطقة آري، ويقدم مرافق للرياضات المائية وخدمة نقل مكوكية.
فيلا أوكولهاس,9.1,"أوكولهاس
– اعرض على الخارطة",توفر Ukulhas Villa in Ukulhas مكان إقامة ذو 3 نجوم مع منطقة شاطئ خاص ودراجات مجانية. ويضم بيت الضيافة ذو الـ 3 نجوم حديقة، ويحتوي على غرف مكيفة مع خدمة الواي فاي المجانية، ولكل منها حمام خاص.
فندق أوستروف,8.9,"أوكولهاس
– اعرض على الخارطة",يقع Ostrov Hotel في أوكولهاس، ويضم منطقة شاطئ خاص ودراجات مجانية. يضم مكان الإقامة هذا مكتب استقبال يعمل على مدار الساعة، كما يوفر للضيوف ملعبًا للأطفال.
ريلاكس ريزيدنس ثودو مالديف,9.5,"ثودو
– اعرض على الخارطة",يقع ريلاكس ريزيدنس ثودو مالديف في ثودو ويوفر مرافق للشواء ومرافق للرياضات المائية، فيما تتوفر مواقف مجانية خاصة للسيارات في الموقع.
فندق فيلاميندهو أيلاند ريزورت أند سبا,9.2,"دانجيثي
– اعرض على الخارطة",يتميز فندق فيلاميندهو أيلاند ريزورت أند سبا بخدمة الواي فاي مجاناً ومسبح خارجي ويحتوي على مركز سبا ومنطقة شاطئ خاصة، ويمكن للضيوف الاستمتاع بتناول وجبة في المطعم.
دابليو مالديفز,9.2,"هيماندهو
– اعرض على الخارطة",يمكن للضيوف عند الإقامة في دابليو مالديفز الاستمتاع بالمياه الزرقاء الرائعة والشعاب المرجانية الجميلة والرمال البيضاء لجزر المالديف، ويوفر الفندق ملاذ هادئ، ويضم مركز للغوص ومركز رياضي ومسبح خارجي لا...
منتجع وسبا فيليغاندو آيلاند,9.5,"جزيرة راسدو
– اعرض على الخارطة",يقع منتجع وسبا فيليغاندو آيلاند في راسدو، ويضم منطقة شاطئية خاصة، كما يحتوي مكان الإقامة هذا على مطعم ومسبح خارجي ومركز للياقة البدنية، فيما يمكن للضيوف الاستفادة من الحديقة.
Paguro Beach Hotel,9.3,"أوكولهاس
– اعرض على الخارطة",يقع فندق Paguro Beach في أوكولهاس، ويوفر دراجات مجانية وخدمة الواي فاي المجانية، تحتوي جميع الغرف على تلفزيون بشاشة مسطحة مع قنوات فضائية وحمام خاص. يوفر مكان الإقامة صالة مشتركة وتنظيم الرحلات...
Boutique Beach All Inclusive Diving Hotel,9.4,"ديجوراه
– اعرض على الخارطة",يقع فندق بوتيك بيتش ديفينغ الشامل كلياً في منطقة ديغورا الشهيرة بكونها محمية بحرية لقرش الحوت وأسماك شيطان البحر، ويوفر خدمة الواي فاي مجاناً.
بالم جاردن,9.5,"ثودو
– اعرض على الخارطة",يقع Palm Garden في ثودو، ويضم منطقة شاطئ خاص ومرافق للشواء وحديقة. ويضم بيت الضيافة ذو الـ 3 نجوم صالة مشتركة وغرف مكيفة مع حمام خاص. ويوفر مكان الإقامة خدمة نقل المطار، كما تتوفر خدمة تأجير الدراجات....
Taj Coral Reef Resort & Spa,8.9,"نورث ماليه آتول
– اعرض على الخارطة",يقع هذا المنتجع الفاخر في جزيرة هيمبادو بجوار البحيرات الشاطئية ذات الشعاب المرجانية ويوفر فيلات أنيقة مع إطلالات بانورامية على المحيط أو واجهة الشاطئ، ويتوفر مسبح خارجي جميل وعلاجات سبا مريحة، كما...
آري هيفن ثودو مالديفز,9.1,"ثودو
– اعرض على الخارطة",تقع Ari heaven Thoddoo Maldives في ثودو وتتميز بحديقة وتراس، يضم بيت الضيافة ذو الـ 4 نجوم هذا صالة مشتركة وغرف مكيفة مع حمام خاص. يوفر مكان الإقامة الترفيه المسائي ومكتب استقبال يعمل على مدار 24...
Samann Grand,9.0,"مدينة ماليه
– اعرض على الخارطة",يقع Samann Grand في مدينة ماليه على بعد 300 م من محطة هولهومالي للعبارات، ويوفر خدمة الواي فاي المجانية وتسجيل الوصول والمغادرة السريع.
نزل صنرايز,9.4,"ثودو
– اعرض على الخارطة",يقع Sunrise Inn في ثودو، ويضم منطقة شاطئ خاص وحديقة وصالة مشتركة. ويحتوي بيت الضيافة ذو الـ 4 نجوم على غرف مكيفة مع حمام خاص وخدمة الواي فاي المجانية.
هوليداي إن ريزورت كاندوما مالديف,8.5,"غوريدهو
– اعرض على الخارطة",تم تسمية منتجع هوليداي إن كاندوما على اسم شجرة الكاندو الوفيرة، ويتمتع بإطلالات جميلة على المحيط الهندي في ساوث مالي أتول، كما يوفر مكان الإقامة هذا 6 خيارات لتناول الطعام، ويتميز بمسبح لا متناهي أنيق...
كنان ريتريت,9.0,"فوليدهو
– اعرض على الخارطة",يقع كنان ريتريت في فوليدهو وعلى بعد 30 كم من مافوشي ويتميز بمرافق شواء ومنطقة شاطئية خاصة.
Quicksand,10,"جزيرة راسدو
– اعرض على الخارطة",يقع Quicksand في راسدو، ويوفر منطقة شاطئ خاص. يضم مكان الإقامة حديقة وتراس. يضم مكان الإقامة مطعمًا. تحتوي جميع الغرف في النزل على تلفزيون بشاشة مسطحة.
منتجع وسبا شانغريلا فيلينغلي، المالديف,8.9,"مارادهوفيدهو
– اعرض على الخارطة",يتميز منتجع وسبا شانغريلا فيلينغلي، المالديف بأجواء متناغمة مع الطبيعة، ويوفر فيلات فاخرة في أدو أتول في جزر المالديف، كما تتوفر خدمة الواي فاي مجانًا في جميع مناطق مكان الإقامة، بما في ذلك جميع...
كورومبا المالديف,9.0,"نورث ماليه آتول
– اعرض على الخارطة",يقع كورومبا المالديف على جزيرة استوائية خاصة في ماليه آتول الشمالية، ويحتوي على شواطئ جميلة ذات رمال بيضاء وأشجار جوز الهند الخلابة.
Reef Edge,9.8,"ثولوسدو
– اعرض على الخارطة",يوفر Reef Edge مكان إقامة في ثولوسدو، يوفر مكان الإقامة دراجات مجانية ومرافق للشواء، فضلاً عن حديقة. وتتوفر خدمة الواي فاي المجانية. تحتوي جميع الغرف في بيت الضيافة على شرفة مطلة على البحر.
ايرو مالديفز,9.4,"ثولوسدو
– اعرض على الخارطة",يقع إيرو مالديف في ثولوسدو، ويوفر منطقة شاطئ خاص ودراجات مجانية وحديقة. ويضم مكان الإقامة مطعمًا وتراسًا. تحتوي كل غرفة على فناء. تحتوي الغرف في بيت الضيافة على خزانة ملابس.
فيلاسارو المالديف,9.4,"مدينة ماليه
– اعرض على الخارطة",يوفر فيلاسارو المالديف مكان إقامة فاخر مواجه للشاطئ وفوق المياه ويتميز بإطلالات مفتوحة على المحيط، كما يتميز بمجموعة واسعة من الرياضات المائية ورياضات المغامرة بالإضافة إلى الرحلات البحرية وقت الغروب...
ساندي هيفين مالديفز,9.6,"غولهي
– اعرض على الخارطة",يقع Sandy Heaven Maldives في جنوب مالي أتول، ويوفر خدمة الواي فاي المجانية، ويبعُد مسافة 30 دقيقة بالقارب السريع عن مطار فيلانا الدولي، ويضم مكان الإقامة هذا مكتب استقبال يعمل على مدار الساعة، كما...
كوراماتي مالديفيز,9.3,"جزيرة راسدو
– اعرض على الخارطة",يقع كوراماتي مالديفيز على أحد الجزر المالديفية الجميلة، ويشتمل على فيلات خاصة فاخرة مع تلفزيون بشاشة مسطحة، ويحتوي بعضها على حوض استحمام سبا، كما يشتمل على 12 خيارًا لتناول الطعام ونادي للأطفال وسبا.
جميره فيتافيلي,9.0,"مدينة ماليه
– اعرض على الخارطة",يوفر جميره فيتافيلي مرافق ترفيهية وصحة شاملة، بما في ذلك مركز بادي للغوص ذو مستوى 5 نجوم وسبا تاليس ومركز تاليس الرياضي.
تودو رتريت,9.1,"ثودو
– اعرض على الخارطة",يحتوي تودو رتريت على مطعم ومنطقة شاطئ خاص، كما يوفر مكتب استقبال يعمل على مدار 24 ساعة لراحة الضيوف، ويتميز بخدمة الواي فاي مجانًا.
بيت ضيافة ريستن إن,9.6,"ثودو
– اعرض على الخارطة",يقع Resten inn في ثودو ويضم حديقة، يضم مكان الإقامة هذا مكتب استقبال يعمل على مدار الساعة، كما يوفر للضيوف ملعبًا للأطفال. يوفر مكان الإقامة موظفين للترفيه ومطبخ مشترك.
كاندولهو مالديفيز,9.4,"هيماندهو
– اعرض على الخارطة",يقع كاندولهو مالديفيز في نورث أري أتول، في جزر المالديف، ويوفر 5 مطاعم وخدمة الواي فاي مجاناً، كما توفر جميع الغرف المكيفة إطلالات رائعة على المحيط.
Viluveli Beach Ukulhas,9.3,"أوكولهاس
– اعرض على الخارطة",يقع Viluveli Beach Ukulhas في أوكولهاس، ويوفر منطقة شاطئ خاص ودراجات مجانية وحديقة. يوفر هذا الفندق ذو الـ 3 نجوم خدمة نقل مكوكية مجانية. ويضم مكان الإقامة مطعمًا. تحتوي جميع الغرف في الفندق على...
أداران بريستيج فادو,8.8,"مدينة ماليه
– اعرض على الخارطة",يضم أداران بريستيج فادو فيلات فوق المياه مع سبا خاص ومغطس وصالة حمام ذات أرضية زجاجية مع إطلالة على الحياة البحرية، وتتوفر خدمة الواي فاي مجانًا في الغرف.
لوكس* جنوب أرى أتول,9.1,"ماميغيلي
– اعرض على الخارطة",يوفر لوكس* ساوث أرى أتول غرف فاخرة ذات مخطط مفتوح محاطة بالمياه الصافية والأراضي الخضراء الاستوائية، ويحتوي على مركز للياقة البدنية وسبا ومسبح خارجي.
Karaa Village,9.6,"ثودو
– اعرض على الخارطة",يقع Karaa Village في Thoddoo North Ari Atoll، ويضم منطقة شاطئ خاص وحديقة. توفر كل غرفة في بيت الضيافة ذو الـ 3 نجوم شرفة وإطلالات على الحديقة وخدمة الواي فاي المجانية. تحتوي كل غرفة على فناء.
بيت ضيافة سيلافي إن,9.7,"أوكولهاس
– اعرض على الخارطة",يوفر بيت ضيافة سيلافي إن مكان إقامة في أوكولهاس، ويتميز بخدمة الواي فاي مجانًا ومطعم ومرافق للشواء. تحتوي الغرف على تلفزيون بشاشة مُسطحة.
كوكو بودو هيثي,8.8,"نورث ماليه آتول
– اعرض على الخارطة",يقع فندق كوكو بودو هيثي، الذي يشبه الجنة على جزيرة، في شمال مالي آتول، ويبعد 40 دقيقة بالقارب السريع من مطار مالي الدولي، ويتميز بوسائل راحة عصرية وفيلات مزودة بمسابح خاصة وتتوفر خدمة الواي فاي...
فندق هورالهي آيلاند ريزورت,9.6,"كوريدو
– اعرض على الخارطة",يوفر فندق هورالهي آيلاند ريزورت مكان إقامة في هورالهي، ويضم المنتجع مسبح خارجي ومركز سبا.
منتجع وسبا شيراتون المالديف فول مون,8.6,"نورث ماليه آتول
– اعرض على الخارطة",يقع منتجع وسبا شيراتون المالديف فول مون الفاخر على جزيرة فورانافوشي الخاصة، ويتميز بالرمال البيضاء والمياه الصافية وأشعة الشمس الذهبية، فيما يمكن للضيوف الاستمتاع بالعلاجات مثل علاجات الوجه ومساج...
هاثا بيتش المالديف,8.1,"هولهومالي
– اعرض على الخارطة",يقع Hathaa Beach Maldives في هولهومالي وعلى بعد أقل من 1 كم من منتزه فيري تيرمينال ويضم تراس وغرف لغير المدخنين وخدمة الواي فاي المجانية، ويضم مكان الإقامة هذا مكتب استقبال يعمل على مدار الساعة، كما...
سابا سمر سويت,9.6,"فيليدهو
– اعرض على الخارطة",يوفر سابا سمر سويت أماكن إقامة في فوددهو، ويوفر خدمة الواي فاي المجانية ومطعم ومرافق للشواء، كما يحتوي بيت الضيافة هذا على تراس للتشمس وإطلالات على الحديقة، ويمكن للضيوف الاستمتاع بتناول وجبة في...
كانوبوس ريتريت ثولوسدو,8.4,"ثولوسدو
– اعرض على الخارطة",يوفر Canopus Retreat Thulusdhoo غرف في Thulusdhoo. تشمل المرافق المتوفرة في مكان الإقامة هذا مطعم وصالة مشتركة وخدمة الكونسيرج، بالإضافة إلى خدمة الواي فاي المجانية.
Summer inn Thoddoo,9.6,"ثودو
– اعرض على الخارطة",يقع Summer inn Thoddoo في ثودو في منطقة أري أتول ويوفر مرافق للشواء وملعب للأطفال. تحتوي الغرف على تلفزيون بشاشة مسطحة وتكييف هواء، وتتوفر للضيوف غلاية في الغرفة.
موريكس بيتش,8.3,"هولهومالي
– اعرض على الخارطة",يقع Murex Beach في هولهومالي في مبنى يعود تاريخه لعام 2017 على بعد 1.2 كم من منتزه فيري تيرمينال ويوفر غرف ضيوف مع خدمة الواي فاي مجاناً، تحتوي جميع الغرف على مطبخ صغير وتلفزيون بشاشة مسطحة مع قنوات...
سيريني سكاي جيست هاوس,9.2,"ثودو
– اعرض على الخارطة",يتميز Serene Sky Guesthouse بغرف ضيوف عصرية ومكيفة مع خدمة واي فاي مجانية وإطلالة على الحديقة، ويقع على جزيرة Thoddoo، التي تُعد أكبر منتج للفاكهة والخضروات في المالديف.
نزل غونبارو,8.6,"أوكولهاس
– اعرض على الخارطة",يقع Gunbaru Inn المريح بالقرب من الشواطئ الرملية البيضاء لجزيرة Ukulhas. ويمكن للضيوف التمتع بمنطقة شاطئ خاصة وخدمة الواي فاي المجانية.
ويست ساندز,9.0,"أوكولهاس
– اعرض على الخارطة",يقع West Sands في أوكولهاس، ويوفر منطقة شاطئ خاص ودراجات مجانية وحديقة. يضم مكان الإقامة تراس وصالة مشتركة. يوفر مكان الإقامة مكتب استقبال يعمل على مدار 24 ساعة وخدمة الكونسيرج للضيوف.
هوفافين فوشي,9.2,"نورث ماليه آتول
– اعرض على الخارطة",يقع منتجع هوفافين فوشي الفاخر في شمال جزيرة ماليه أتول في جزر المالديف.
منتجع وسبا كوريدو آيلاند,9.1,"كوريدو
– اعرض على الخارطة",يقع منتجع وسبا كوريدو آيلاند في كوريدو في منطقة لافياني أتول ويوفر مكان إقامة مواجه للشاطئ ويضم منطقة شاطئ خاصة ومرافق الرياضات المائية، ويوفر المنتجع مسبح خارجي ومركز سبا ومركز للياقة البدنية مجاناً...
Dhon Manik Beach View,7.9,"هولهومالي
– اعرض على الخارطة",يقع Dhon Manik Beach View في هولهومالي على بعد أقل من 1 كم من منتزه فيري تيرمينال ويوفر مكان إقامة مع تراس، ويضم مكان الإقامة هذا مكتب استقبال يعمل على مدار الساعة، كما يوفر للضيوف مطعمًا.
أوشين ريتريت آند سبا,8.9,"غوريدهو
– اعرض على الخارطة",يقع Ocean Retreat and Spa في غوريدهو ويضم منطقة شاطئ خاص وتراس. ويحتوي بيت الضيافة ذو الـ 3 نجوم على صالة مشتركة وغرف مكيفة مع خدمة الواي فاي المجانية.
"Hotel Jen Malé, Maldives by Shangri-La",8.1,"مدينة ماليه
– اعرض على الخارطة",يوفر فندق جين ماليه، جزر المالديف خدمات نقل مكوكية مجانية بالقارب السريع من مطار ماليه الدولي الواقع على بعد 7 دقائق بالسيارة، ويحتوي على مسبح لا متناهي على السطح وإطلالات على المحيط الهندي.
كونستانس هالافيلي,9.4,"هانغناميدهو
– اعرض على الخارطة",يقدم منتجع Constance Halaveli للنزلاء عطلة فاخرة على جزيرة، ويوفر فللاً واسعة مع مغاطس خاصة. ويحتوي على سبا شامل ومرافق للغوص، ويضم 3 خيارات لتناول الطعام وملاعب تنس.
Coral Grand Beach & Spa,7.9,"هولهومالي
– اعرض على الخارطة",يقع Coral Grand Beach & Spa في هولهومالي على بعد 1 كم من منتزه فيري تيرمينال ويتميز بتراس، ويوفر هذا الفندق ذو الـ 4 نجوم خدمة الواي فاي المجانية ومكتب استقبال يعمل على مدار الساعة.
Huvan Beach Hotel at Hulhumale',8.7,"هولهومالي
– اعرض على الخارطة",يقع Huvan Beach Hotel at Hulhumale' في هولهومالي على بعد أقل من 1 كم من منتزه فيري تيرمينال ويوفر حديقة وغرف مع خدمة الواي فاي مجاناً، يحتوي هذا الفندق ذو الـ 3 نجوم على غرف مكيفة مع حمام خاص.
أوكولهاس إن,8.8,"أوكولهاس
– اعرض على الخارطة",يقع أوكولهاس إن في جزيرة ألِف ألِف أتول الرملية المرجانية الجميلة وعلى بعد دقيقة واحدة سيرًا على الأقدام من الشواطئ الرملية لجزيرة أوكولهاس، ويوفر منطقة شاطئ خاص وغرف عصرية توفر تكييف وإمكانية استخدام...
أنانتارا كيهافاه مالديف فيلاز,9.3,"با أتول
– اعرض على الخارطة",تقع فيلات أنانتارا كيهافاه مالديف على جزيرة كيهافاه هورافالهي الجميلة في با أتول، وتضم فيلات فاخرة مع مسابح خاصة لا متناهية، وتحيط بها شعاب مرجانية وبحيرة شاطئية زرقاء، وتوفر سبا فوق المياه وخدمة...
فندق كويمالا,9.0,"ماميغيلي
– اعرض على الخارطة",يقع فندق كويمالا في وسط نقطة قرش الحوت على بعد 50 متر من الشاطئ، ويوفر مطعماً يقدم مجموعة لذيذة من المأكولات المحلية والغربية، ويتمتع الضيوف بالعديد من الأنشطة والرحلات التي يوفرها مكان الإقامة،...
باروس المالديف,9.4,"نورث ماليه آتول
– اعرض على الخارطة",باروس المالديف عبارة عن جزيرة صغيرة تقع على بحيرة شاطئية فيروزية بالقرب من مدينة ماليه وتضم فيلات منعزلة في منطقة مظللة بأشجار النخيل وبجوار شاطئ رملي أبيض أو فوق المياه مع تراس شمسي خاص.
Kanborani,9.8,"هورا
– اعرض على الخارطة",يوفر Kanborani مكان إقامة على شاطئ البحر في هورا. يضم مكان الإقامة تراسًا، فضلاً عن صالة مشتركة. وتتوفر خدمة الواي فاي المجانية. تم تجهيز غرف الضيوف في الفندق بغلاية.
منتجع هوليداي آيلاند,8.8,"ماميغيلي
– اعرض على الخارطة",يقع منتجع هوليداي آيلاند في أليفو دالوا أتول في جزيرة ديفوشي ويبعد مسافة 30 دقيقة بالطائرة من مطار مالي الدولي، ويتميز بمكان إقامة مواجه للشاطئ ويوفر رحلات استكشافية بالقوارب ورياضات مائية متنوعة.
منتجع وسبا تاج إكزوتيكا,9.3,"مدينة ماليه
– اعرض على الخارطة",يتميز منتجع وسبا تاج إكزوتيكا المصنف 5 نجوم بفيلات فاخرة ومسبح لا متناهي كبير مع إطلالات واضحة على البحيرات الشاطئية، ويضم مطعمين وبار ومركز للياقة البدنية، كما تتوفر خدمة الواي فاي مجانًا في جميع...
Naladhu Private Island Maldives,9.3,"غولهي
– اعرض على الخارطة",يمكنكم التمتع بتجربة قيّمة في نالادهو برايفت آيلاند، بحيث تشعرون وكأنكم تملكون كل شِبرٍ فيها.
منتجعات Amaya & Spa Kuda Rah,8.7,"دانجيثي
– اعرض على الخارطة",تعتبر منتجعات Amaya & Spa Kuda Rah مكان إقامة مواجه للشاطئ يقع في ساوث أري أتول. ويوفر مكان الإقامة فيلات فسيحة مع مسابح خاصة ومركز صحي وسبا متكامل الخدمات.
لكجري بيتش مالديفيز,8.4,"غوريدهو
– اعرض على الخارطة",يوفر Luxury Beach Maldives مكان إقامة في غوريدهو، يضم مكان الإقامة منطقة شاطئ خاص وحديقة. وتتوفر خدمة الواي فاي المجانية.
دريفت ثيليو فيليجا ريتريت,9.1,"Theluveligaa
– اعرض على الخارطة",يقع دريفت ثيليو فيليغا ريتريت على جزيرة ثيليو فيليغا البكر بآري أتول الجنوبية على بعد حوالي 90 كم جنوب غرب العاصمة ماليه، ويتميز مكان الإقامة بشعابه المرجانية الرائعة الخاصة.
