name,rate,location,description
Casa Velas Hotel Boutique & Ocean Club - Adults Only All Inclusive,9.4,"Marina Puerto Vallarta, بويرتو فايارتا
– اعرض على الخارطة",يتمتع هذا المنتجع بموقع مثالي في نادي مارينا فالارتا للغولف في بويرتو فالارتا بالمكسيك، ويوفر أماكن إقامة فاخرة وخدمات ووسائل راحة من الدرجة الأولى.
Na Balam Beach Hotel & Villas,7.8,"إيسلا موخيريس
– اعرض على الخارطة",إن هذا الفندق المحاط بحدائق استوائية ، والذي يقع على جزيرة صغيرة في Isla Mujeres ، على بعد دقائق قليلة من مدينة كانكون ، يقع أيضا على واحد من أفضل الشواطئ في منطقة البحر الكاريبي .
City Express Tijuana Otay,8.0,"تيخوانا
– اعرض على الخارطة",يوفر City Express Tijuana Otay غرف في تيخوانا على بعد 9 كم من مركز تيخوانا الثقافي وعلى بعد 11 كم من سوق إل بوبو، ويوفر خدمة الواي فاي المجانية، تتوفر غرفة للياقة البدنية للضيوف.
Hotel Bella vista,8.8,"زيهواتانيجو
– اعرض على الخارطة",يقع فندق Bella vista في زيهواتانيجو، ويوفر مكان إقامة ذو 3 نجوم مع منطقة شاطئ خاص ومسبح في الهواء الطلق، يضم هذا الفندق ذو الـ 3 نجوم حديقة وغرف مكيفة مع حمام خاص. كما يتوفر مطعم.
JW Marriott Los Cabos Beach Resort & Spa,9.0,"سان خوسيه ديل كابو
– اعرض على الخارطة",JW Marriott Los Cabos Beach Resort & Spa offers accommodation in San José del Cabo.
غراند باهيا برينسيبي كوبا - اول انكلوزيف,8.3,"أكومال
– اعرض على الخارطة",يقع Grand Bahia Principe Coba - All Incluisve في أكومال، ويشمل مسبح خارجي ومركز عافية وسبا، ويوفر خدمة الواي فاي.
Hard Rock Hotel Riviera Maya- Heaven Section (Adults Only) All Inclusive,9.1,"بويرتو أفينتوراس
– اعرض على الخارطة",يقع Hard Rock Hotel Riviera Maya- Heaven Section (Adults Only) All Inclusive وهو قطاع للبالغين فقط داخل منتجع هارد روك ريفييرا مايا.
Grand Sirenis Riviera Maya Resort & Spa All Inclusive,8.0,"أكومال
– اعرض على الخارطة","Overlooking the Caribbean Sea, Grand Sirenis Riviera Maya Resort & Spa is a modern hotel featuring 3 outdoor pools, a spa and a private beach area. It offers spacious, air-conditioned rooms."
"San Carlos Plaza Hotel, Beach & Convention Center",7.6,"سان كارلوس
– اعرض على الخارطة",يقع سان كارلوس بلازا على بعد 30 دقيقة بالسيارة من مدينة Guaymas، ويقع هذا الفندق بجانب خليج كاليفورنيا.
Hotel El Ganzo,8.8,"سان خوسيه ديل كابو
– اعرض على الخارطة","Hotel El Ganzo has its own private beach club and marina, and a roof top bar that overlooks the bay. It also features an outdoor pool and free WiFi."
Hotel Hacienda Izamal,8.9,"إسامال
– اعرض على الخارطة",يوفر Hotel Hacienda Izamal غرف في Izamal. ويمكن للضيوف في مكان الإقامة ذو الـ 3 نجوم الاستمتاع بإطلالات على المسبح في الغرف والوصول إلى مسبح في الهواء الطلق. وتتوفر خدمة الواي فاي المجانية.
Fiesta Americana Merida,8.8,"Paseo de Montejo, ميريدا
– اعرض على الخارطة","With a great location in Merida near the historical city centre, this hotel offers Porfirian architecture combined with contemporary amenities and services just a short drive from the airport."
ميسيون غراند إكس هاسيندا دي شاوتلا,8.7,"San Martín Texmelucan de Labastida
– اعرض على الخارطة",يقع Mision Grand Ex Hacienda de Chautla على بعد 500 م من نهر Aculco وعلى بعد 6 كم من وسط مدينة Texmelucan ويوفر تصميم فني فريد من نوعه من Hacienda وحديقة واسعة ونافورة.
Hotel Festival Plaza Playas Rosarito,7.1,"روزاريتو
– اعرض على الخارطة","Located in Playas de Rosarito, this hotel features an outdoor pool and rooms with cable TV. The hotel is within 15 minutes of Puerto Nuevo Lobster Village."
Cancun Condo Rent,8.8,"منطقة الفنادق, كانكون
– اعرض على الخارطة",توفر Cancun Condo Rent مسبح في الهواء الطلق ومطعم. تقع هذه الشقة المجهزة تجهيزا كاملا على بعد 30 متر فقط من الشاطئ، وتضم خدمة الواي فاي المجانية ومواقف للسيارات في الموقع.
Izla Beach Front Hotel,9.0,"إيسلا موخيريس
– اعرض على الخارطة",يواجه فندق Izla Beach Front الواجهة البحرية في جزيرة موخيريس، ويضم مسبحًا في الهواء الطلق ومنطقة شاطئ خاص.
Secrets Vallarta Bay Resort & SPA - Adults Only,9.0,"Las Glorias-North Hotel Area, بويرتو فايارتا
– اعرض على الخارطة",Situated on the golden sand beach right on the Pacific coast and located just minutes from the famous 'El Malecón' boardwalk. Secrets Vallarta Resort & Spa boasts a world-class spa and an outdoor...
Occidental Nuevo Vallarta,8.4,"نويفو فايارتا
– اعرض على الخارطة","Located a 1-minute walk from Nuevo Vallarta Beach and Marina, Occidental Nuevo Vallarta offers outdoor pools for adults and children, tennis courts and a gym."
Hotel San Julio,8.9,"سيليستون
– اعرض على الخارطة",يوفر Hotel San Julio مكان إقامة يسمح باصطحاب الحيوانات الأليفة في قلب سيليستون على بعد خطوات قليلة من الشاطئ والمتاجر والمطاعم. تتوفر خدمة الواي فاي مجانًا في المناطق المشتركة. تحتوي الغرف على...
City Express Rosarito,7.7,"روزاريتو
– اعرض على الخارطة","City Express Rosarito provides rooms in Rosarito. Every guest at the 4-star property can enjoy city views from the rooms, and has access to an outdoor pool and to a fitness centre."
Hotel Azul,8.6,"Oaxaca Historic Centre, مدينة أواكساكا
– اعرض على الخارطة",يقع هذا الفندق البوتيكي في وسط أواكساكا على بُعد 300 متر فقط من كنيسة سانتو دومينغو، وتم تصميم الغرف الأنيقة من قبل فنانين محليين معروفين، وتوفر خدمة الواي فاي المجانية وتلفزيونًا بشاشة مسطحة مع قنوات...
Hotel Plaza Catedral,9.1,"Gómez Palacio
– اعرض على الخارطة",يقع Hotel Plaza Catedral في Gómez Palacio ويوفر مكان إقامة ذو 4 نجوم مع تراس. ويوفر هذا الفندق ذو الـ 4 نجوم خدمة الواي فاي المجانية ومكتب استقبال يعمل على مدار الساعة وخدمة الغرف. كما يتوفر مطعم.
Hampton Inn By Hilton Tijuana,9.2,"تيخوانا
– اعرض على الخارطة",يقع Hampton Inn في تيخوانا على بعد 9 كم من مركز تيخوانا الثقافي. يحتوي By Hilton Tijuana على عدد من وسائل الراحة بما في ذلك مركز للياقة البدنية وخدمة الواي فاي المجانية.
The Yak Hostel,8.5,"Centro, بلايا ديل كارمن
– اعرض على الخارطة",يقع ياك هوستيل على بعد 200 متر من شارع 5 في وسط بلايا ديل كارمن، ويقدم وجبة إفطار كونتيننتال مجانية وغرف مكيفة مع خدمة الواي فاي المجانية، ويمكن للضيوف الاستمتاع بفناء وتراس على السطح وأراجيح شبكية.
Villa Premiere Boutique Hotel & Romantic Getaway,9.2,"Downtown Puerto Vallarta, بويرتو فايارتا
– اعرض على الخارطة",يقع Villa Premiere Boutique Hotel & Romantic Getaway على الشاطئ الرئيسي في بويرتو فايارتا، ويضم أجنحة مطلة على المحيط.
Luxury Bahia Principe Akumal - All Inclusive,8.6,"أكومال
– اعرض على الخارطة",يضم Luxury Bahia Principe Akumal - الشامل كلياً مسبح خارجي ومطعم يوفر إطلالة على البحر كما يقع في بلدة ريفييرا مايا في أكومال، وتتوفر خدمة الواي فاي مجاناً في هذا المنتجع.
Eco Bay Hotel,7.5,"باهيا كينو
– اعرض على الخارطة",يقع هذا الفندق المريح في مدينة باهيا كينو، على بعد 500 م من خليج كاليفورنيا. يضم Eco Bay Hotel مسبح. تحتوي جميع الغرف المكيفة على منطقة جلوس وطاولة لتناول الطعام وتلفزيون مع قنوات الكابل.
Now Sapphire Riviera Cancun-All Inclusive,8.7,"بويرتو موريلوس
– اعرض على الخارطة",يقع Now Sapphire على شاطئ البحر الكاريبي وعلى بعد 35 كم جنوب مدينة كانكون، كما يضم 4 مسابح خارجية وغرف فاخرة تتميز بإطلالات على البحر أو الحديقة الاستوائية، فيما تتوفر مواقف مجانية للسيارات في الموقع....
Coral Suites,8.9,"Centro, بلايا ديل كارمن
– اعرض على الخارطة",يقع Coral Suites في مدينة بلايا ديل كارمن، على بُعد 3 كم من محطة حافلات ADO الدولية.
Privilege Aluxes - Adults Oriented,8.5,"إيسلا موخيريس
– اعرض على الخارطة",يقع هذا الفندق الفاخر في جزيرة Isla Mujeres عبر الكانكون ويضم خدمات النادي الصحي المساعدة على الاسترخاء ومجموعة واسعة من الأنشطة الترفيهية بالقرب من شاطئ الشمال Playa Norte ويضم فندق Privilege Aluxes...
Dreams Riviera Cancun Resort & Spa,8.7,"بويرتو موريلوس
– اعرض على الخارطة","Surrounded by tropical gardens and a beautiful beach, this impressive hotel is just 15 minutes’ drive from Playa del Carmen. It offers a spa, an infinity pool and 6 gourmet restaurants."
Four Seasons Resort Punta Mita,9.4,"بونتا مِيتا
– اعرض على الخارطة",يقع هذا المجمع الحائز على جائزة إيه إيه إيه فايف دايموند على شاطئ بونتا دي ميتا على خليج بانديراس، ويبعُد 45 دقيقة بالسيارة عن مطار بويرتو فالارتا الدولي.
فندق حياة زيفا بويرتو فالارتا,8.9,"South Shore Hotel Area, بويرتو فايارتا
– اعرض على الخارطة",يقع Hyatt Ziva Puerto Vallarta في بويرتو فايارتا، ويشمل مسبح خارجي ومركز العافية والسبا، ويقدم سبا VitaMar مجموعة من الخدمات مثل جلسات المساج وتجميل الأظافر والعناية بالقدمين بالإضافة إلى علاجات...
Olas de Cerritos,9.3,"El Pescadero
– اعرض على الخارطة",يقع Olas de Cerritos على بعد دقيقتين سيرًا على الأقدام من شاطئ سيريتوس، و15 دقيقة بالسيارة من قرية تودوس سانتوس السحرية، ويتميز بديكورات على الطراز المكسيكي وحديقة، ويوفر إطلالات مذهلة على البحر.
RockyPoint Mexico 2 Bed House 1 Car Garage,8.6,"بورتو بيناسكو
– اعرض على الخارطة",يقع Rockypoint Mexico 2 Bed House 1 Car Garage في بويرتو بيناسو. يوفر بيت العطلات هذا مرافق للشواء. يوفر بيت العطلات هذا إطلالات على المسبح والمدينة، ويضم غرفتي نوم ويفتح على تراس.
منتجع وسبا بريثليس ريفيرا كانكون,8.9,"بويرتو موريلوس
– اعرض على الخارطة",يقع منتجع وسبا بريذليس ريفييرا كانكون في بويرتو موريلوس، وعلى بعد 29 كم من كانكون، ويضم منطقة شاطئ خاص ومرافق الرياضات المائية. ويضم المنتجع مسبح خارجي وبار ومركز سبا.
Meliá Puerto Vallarta – All Inclusive,7.6,"Marina Puerto Vallarta, بويرتو فايارتا
– اعرض على الخارطة",يمكنك تجربة عطلة مثالية على الشاطئ في هذا المنتجع الشامل كليًا الصديق للعائلة والذي يقع في Marina Vallarta بالقرب من المطار ووسط المدينة ويوفر مجموعة لانهائية من الأنشطة.
Hotel Okaan,8.7,"تشيتشن إيتزا
– اعرض على الخارطة",تحيط هذا الفندق المنعزل الغابات الاستوائية، ويقع على بعد 10 دقائق بالسيارة من أطلال حضارة المايا في مدينة تشيتشن-إيتزا. ويوفر سبا ومنطقة تأمل وبحيرة ومسبح في الهواء الطلق.
Hotel Casa Maya Calakmul,8.9,"Chicanna
– اعرض على الخارطة",يقع Hotel Casa Maya Calakmul في Chicanna ويوفر مكان إقامة مع دراجات مجانية وحديقة.
City Express Ensenada,8.7,"إنسينادا
– اعرض على الخارطة",يقع City Express Ensenada في إنسينادا، ويضم مسبحًا في الهواء الطلق ومركزًا للياقة البدنية. ويوفر مكان الإقامة مكتب استقبال يعمل على مدار 24 ساعة وخدمة الواي فاي المجانية.
Hotel Zentik Project & Saline Cave,9.0,"فالادوليد
– اعرض على الخارطة","Offering two 24-hour pools, one nestled in a cave with salty, hot water, and a second one outdoor in the hammocks area, Hotel Zentik Project is situated in Valladolid in the Yucatán Region, 39 km from..."
MOW MIDTOWN HOTEL & RESIDENCES,7.8,"Centro, بلايا ديل كارمن
– اعرض على الخارطة",يتميز MOW MIDTOWN HOTEL & RESIDENCES بموقع ملائم في وسط بلايا ديل كارمن، ويوفر مسبحًا في الهواء الطلق وخدمة الواي فاي مجانًا. يقع الفندق على بعد 1.1 كم من محطة حافلات ADO الدولية ويضم حديقة وتراس.
Holiday Inn Express Puerto Vallarta,9.1,"بويرتو فايارتا
– اعرض على الخارطة",يتميز فندق Holiday Inn Express Puerto Vallarta بمسبح في الهواء الطلق وحوض استحمام ساخن، ويبعُد مسافة 10 دقائق بالسيارة عن شواطئ بويرتو فالارتا، ويشمل السعر الإفطار.
Desire Riviera Maya Pearl Resort,9.2,"بويرتو موريلوس
– اعرض على الخارطة",Desire Riviera Maya Pearl Resort is located at the edge of Puerto Morelos. Desire Riviera Maya Pearl Resort is only 20 minutes from the Cancun Airport.
Maglén Resort,8.1,"فالي دي جوادالوبي
– اعرض على الخارطة",يقع Maglén Resort in Valle de Guadalupe على بعد 13 كم من مصنع نبيذ Adobe Guadalupe وعلى بعد 14 كم من El Cielo Winery ويوفر مسبح في الهواء الطلق وغرف مع خدمة الواي فاي المجانية. 23 كم.
Casa Xpuhil,9.9,"وسط مدينة كانكون, كانكون
– اعرض على الخارطة",يقع Casa Xpuhil في كانكون ويوفر مكان إقامة مع تلفزيون بشاشة مسطحة ومطبخ صغير. وتتوفر خدمة الواي فاي المجانية.
Galeria Plaza Reforma,8.7,"خواريز, مدينة ميكسيكو
– اعرض على الخارطة",يقع فندق Galeria Plaza Mexico في حي Zona Rosa ، على بعد مبنى واحد من مباني المكاتب في شارع Paseo de la Reforma ، ولذا فهو يجذب المسافرين من رجال الأعمال والسياح على حد سواء.
Hotel Royal Courts,8.0,"San Nicolas de los Garza, مونتيري
– اعرض على الخارطة",يوفر فندق Royal Courts مسبح في الهواء الطلق ومواقف مجانية للسيارات وغرف مكيفة مع خدمة الواي فاي المجانية. يقع على بعد 400 م من محطة مترو Anáhuac وعلى بعد 6 كم من وسط مدينة مونتيري.
Nomadas Hostel,8.6,"Centro de Merida, ميريدا
– اعرض على الخارطة",يقع Nomadas Hostel في منزل استعماري على بعد 5 صفوف مباني من الساحة الرئيسية ميريدا ويضم مسبح في الهواء الطلق مع الأراجيح. ويقدم وجبة إفطار أمريكية مجانية ومكتب استقبال يعمل على مدار الساعة.
Suites Los Arcos,8.4,"إيسلا موخيريس
– اعرض على الخارطة",يقع Suites Los Arcos في الجانب الشمالي من جزيرة موخيريس، ويوفر أماكن إقامة مجهزة بماكينات صنع القهوة وتلفزيون مع قنوات الكابل وتكييف.
Hotel La Concha Beach Resort,7.7,"لاباز
– اعرض على الخارطة",يتميز فندق La Concha Beach Resort بنادي شاطئي يقدم رحلات الغطس والغوص ورياضة التجديف بقوارب الكانو. كما يتميز بشاطئ خاص على شاطئ لا كونتا ومسبح في الهواء الطلق ويقدم خدمات المساج.
El Cozumeleño Beach Resort - All Inclusive,7.3,"كوزوميل
– اعرض على الخارطة","Facing the Caribbean Sea in the northern end of Cozumel's Hotel Zone, this all-inclusive resort offers an outdoor pool, 2 restaurants and free Wi-Fi in public areas."
Hotel Plaza Almendros,7.7,"إيسلا موخيريس
– اعرض على الخارطة",يقع هذا الفندق في وسط جزيرة موخيريس وعلى بعد 10 دقائق سيرا على الأقدام من الشاطئ العام. ويتميز ببركة سباحة في الهواء الطلق وأفران ميكروويف وثلاجات وخدمة الواي فاي المجانية.
ساندوس كاراكول ايكو ريزورت شامل كليًا,8.0,"بلايا ديل كارمن
– اعرض على الخارطة","This property is located on the beachfront. Featuring a spa, 9 restaurants and 2 outdoor pools and an water park with 29 water slides for kids and adults, Sandos Caracol Eco Resort is set on Playa del..."
Esmeralda Rocky Point by Castaways,8.3,"بورتو بيناسكو
– اعرض على الخارطة",يقع Esmeralda Rocky Point by Castaways في بويرتو بيناسو، ويضم مسبحًا في الهواء الطلق، فضلاً عن مكان إقامة مُزود بخدمة الواي فاي المجانية ومطبخ. ويوفر مكان الإقامة تكييف الهواء وحوض استحمام ساخن.
Señor Frogs Hostel,9.2,"منطقة الفنادق, كانكون
– اعرض على الخارطة",يقع بيت شباب سينور فروغس في مدينة كانكون وعلى بعد 2.6 كم من مركز لا آيسلا للتسوق، ويضم مسبحاً في الهواء الطلق ومرافق للشواء وتراساً، فضلاً عن خدمة الواي فاي مجاناً.
Kore Tulum Retreat & Spa Resort All Inclusive - Adults Only,7.8,"Playa Paraiso, تولوم
– اعرض على الخارطة",Kore Tulum Retreat & Spa Resort is an adult only luxury resort located outside the town and over the seafront of Tulum.
Hostel 3B Chic & Cheap,8.6,"Centro, بلايا ديل كارمن
– اعرض على الخارطة",يقع بيت الشباب الأنيق والعصري هذا في بلايا ديل كارمن على بعد صف واحد من الأبنية من الشاطئ والشارع الخامس. ويوفر غرفاً خاصة وصالات نوم مشتركة عصرية مع بار مفتوح لمدة 5 ساعات.
Sea of Cortez Beach Club By Diamond Resorts,9.0,"سان كارلوس
– اعرض على الخارطة",يقع هذا المنتجع المطل على المحيط في ولاية سونورا في خليج كاليفورنيا على الساحل الغربي للمكسيك. ويوفر المنتجع خدمة تأجير معدات الغطس وغوص السكوبا. وتشمل الأجنحة مطابخ صغيرة.
غراند ريفييرا برينسيز - شامل كليًا,8.4,"بلايا ديل كارمن
– اعرض على الخارطة",يقع هذا المنتجع المصنف 5 نجوم في منطقة ريفيرا مايا الجميلة، ويبعد 9 كم من وسط بلايا ديل كارمن، ويضم هذا المنتجع المواجه لشاطئ البحر 12 مسبح يوفر بعضها أحواض مياه ساخنة داخلية ويحتوي على أجنحة واسعة مع...
Capital Plaza Hotel,8.4,"تْشيتومال
– اعرض على الخارطة",يقع هذا الفندق العصري قبالة متحف مايان الثقافي في شيتومال، ويضم مسبحًا في الهواء الطلق وجيم وغرفًا أنيقة توفر خدمة الواي فاي مجانًا. تتوفر مواقف عامة للسيارات مجانًا في الموقع.
Hotel Jardin Real,7.8,"Huixtla
– اعرض على الخارطة",يقع Hotel Jardin Real في Huixtla ويضم مركزا للياقة البدنية. ويضم مكان الإقامة هذا مكتب استقبال يعمل على مدار الساعة، كما يوفر للضيوف مسبحًا في الهواء الطلق. كما يتوفر مطعم.
Fiesta Inn Puerto Vallarta Isla,8.8,"Las Glorias-North Hotel Area, بويرتو فايارتا
– اعرض على الخارطة","Located 1.1 km from Cruise Ship Pier in Puerto Vallarta, Fiesta Inn Puerto Vallarta Isla is located inside of the shopping center La Isla and features a restaurant and free WiFi throughout the..."
Hotel Socaire,9.4,"كامبيش
– اعرض على الخارطة","Hotel Socaire is located 5 minutes’ walk from Parque de la Independencia Main Square and 800 metres from Pedro Sáinz Seafront. It features a swimming pool, free Wi-Fi."
Hotel Villa Marina,7.8,"إنسينادا
– اعرض على الخارطة",يقع Hotel Villa Marina في خليج De Todos Los Santos على بعد 300 م من متحف الفن وعلى بعد 5 دقائق سيرا على الأقدام من شاطئ البحر. ويتميز بمسبح في الهواء الطلق وخدمة الواي فاي المجانية.
بيت شباب تشي بلايا,8.2,"Centro, بلايا ديل كارمن
– اعرض على الخارطة",يقع Hostel Che على بعد 200 متر من ساحة بلايا ديل كارمن الرئيسية وعلى مسافة 600 متر من الشاطئ. وتتوفر خدمة الواي فاي مجانًا في جميع المناطق، ويشمل السعر بوفيه إفطار.
Camino Real Aeropuerto,8.1,"مدينة ميكسيكو
– اعرض على الخارطة",يتميز هذا الفندق بموقع مثالي، حيث يقع قبالة المحطة رقم 1 في مطار مكسيكو سيتي ويقدم خدمات فاخرة وأماكن إقامة مريحة. ويتصل الفندق بالمطار عن طريق جسر للمشاة ويضم مكتبًا لتسجيل الوصول الحصري لضيوفه.
Barceló Gran Faro Los Cabos,8.3,"سان خوسيه ديل كابو
– اعرض على الخارطة",This luxurious all-inclusive resort in Los Cabos offers 5 outdoor pools with stunning views of the Sea of Cortez. The spacious rooms all include a private balcony and satellite TV.
Reflect Krystal Grand Nuevo Vallarta,7.7,"نويفو فايارتا
– اعرض على الخارطة",يواجه Reflect Krystal Grand Nuevo Vallarta الواجهة البحرية، ويوفر مكان إقامة ذو 5 نجوم في نويفو فالارتا، ويحتوي على منطقة شاطئ خاص ودراجات مجانية ومسبح في الهواء الطلق، تشمل المرافق المتوفرة في مكان...
UNICO 20°N 87°W - Riviera Maya,9.3,"أكومال
– اعرض على الخارطة","Featuring water sports facilities, UNICO 20°N 87°W - Riviera Maya is situated in Akumal, 3.8 km from Kantenah Bay."
Casa Lucy,,"بورتو بيناسكو
– اعرض على الخارطة",يقع Casa Lucy في بويرتو بيناسو ويضم حوض استحمام ساخن. يوفر بيت العطلات هذا منطقة شاطئ خاص. يحتوي بيت العطلات على تراس و4 غرف نوم وغرفة معيشة ومطبخ مجهز تجهيزا جيدا مع فرن وميكروويف.
Rancho Sakol,8.7,"بويرتو موريلوس
– اعرض على الخارطة",يقع Rancho Sakol على شاطئ جميل في ريفييرا مايا، على بعد 25 دقيقة سيرا على الأقدام أو 10 دقائق بالدراجة من وسط بويرتو موريلوس. يوفر هذا النزل الساحر الاستخدام المجاني للدراجات ومعدات الغطس.
Nomade Tulum,8.8,"Zona Hotelera, تولوم
– اعرض على الخارطة",يقع Nomade Tulum في تولوم، وعلى بعد 10.5 كم من موقع تولوم الأثري، كما يضم مركز سبا ومنطقة شاطئ خاصة، ويمكن للضيوف الاستمتاع بتناول وجبة في المطعم، كما تتوفر مواقف خاصة للسيارات مجاناً في الموقع.
Hotel CasAntica,8.3,"Oaxaca Historic Centre, مدينة أواكساكا
– اعرض على الخارطة","Located in Oaxaca, this hotel is set in a restored, 16th-century building and features an outdoor  with a waterfall and free Wi-Fi. Only one block from the hotel is Zocalo, the main plaza of Oaxaca."
Extended Suites Ciudad Juarez by US Consulate,8.9,"سيوداد خواريز
– اعرض على الخارطة","Situated 0.5 km from United States Consulate General Ciudad Juarez in Ciudad Juárez, Hotel Extended Suites Ciudad Juarez  features free WiFi access and free private parking."
كراون بارادايس كلوب كانكون - شامل كلياً,8.1,"منطقة الفنادق, كانكون
– اعرض على الخارطة",يقع هذا الفندق في كانكون على طول البحر الكاريبي على بعد 3.5 كم من مرسى اكوا وورلد، ويتميز بمنتزه مائي يضم 8 منزلقات مائية ويوفر ذا سبا علاجات الشعر والجسم.
Rosarito Beach Hotel,7.3,"روزاريتو
– اعرض على الخارطة",يقع فندق Rosarito Beach على الشاطئ مباشرةً، ويوفر مركز سبا وخدمة الواي فاي في جميع المناطق مقابل تكلفة إضافية. ويبعد هذا الفندق العصري مسافة ساعة بالسيارة عن منطقة كروم العنب في قرية Ensenada.
فندق زكاريت ميكسيكو - آول باركس آند تاورز/الشامل كلياً,9.5,"بلايا ديل كارمن
– اعرض على الخارطة",يقع فندق زكاريت ميكسيكو في مدينة بلايا ديل كارمن على بُعد 6 كم من محطة بلايا ديل كارمن البحرية، ويضم عدداً من وسائل الراحة، بما في ذلك منطقة الشّاطئ الخاصة ومسبح في الهواء الطّلق وملعب للتنس.
Holiday Inn Express Mérida,8.7,"ميريدا
– اعرض على الخارطة",يقع هذا الفندق على بعد مسافة 15 دقيقة بالسيارة من وسط مدينة ميريدا، ويبعُد مسافة أقل من نصف ساعة بالسيارة عن خليج المكسيك، ويحتوي على مسبح في الهواء الطلق ومركز للياقة البدنية.
Gamma Campeche Malecon,8.6,"كامبيش
– اعرض على الخارطة","Gamma Campeche Malecon is located on the Yucatán Peninsula, on Campeche’s seafront promenade. It offers an outdoor pool and air-conditioned rooms with free WiFi and flat-screen cable TV."
Hotel Hacienda de Vallarta Centro,7.2,"Downtown Puerto Vallarta, بويرتو فايارتا
– اعرض على الخارطة",يقع Hotel Hacienda de Vallarta Centro على بعد 5 دقائق سيرا على الأقدام من الشواطئ القريبة من جزيرة Cuale، على بعد كيلومترين خارج وسط بويرتو فالارتا. ويضم حوض سباحة في الهواء الطلق.
The St. Regis Punta Mita Resort,9.4,"بونتا مِيتا
– اعرض على الخارطة",يوفر هذا المنتجع الحائز على جائزة AAA Five Diamond خيارات مأكولات راقية وعلاجات سبا متكاملة الخدمات وملاعب للغولف على مستوى عالي في الموقع، ويُطل على المحيط الهادي، ويحتوي على غرف تشمل تراسات خاصة.
Casa del Puerto,8.6,"بويرتو موريلوس
– اعرض على الخارطة",يقع Casa del Puerto في بويرتو موريلوس، ويضم أماكن إقامة مع تراسات خاصة. ويضم مكتب استقبال يعمل على مدار 24 ساعة، كما يرحب بالضيوف مع مطعم ومسبح في الهواء الطلق على مدار السنة.
أومني بويرتو أفنشير بيتش ريزورت,8.5,"بويرتو أفينتوراس
– اعرض على الخارطة",يقع هذا المنتجع الشاطئي على ساحل بويرتو أفينتوراس الكاريبي، ويوفر مجتمعاً متجانساً من مباني الفيلات والشقق الفاخرة المبنية باستخدام المواد الأصلية للمنطقة في قلب ريفييرا المايا.
