name,location,rating,description
قصر البالود للشقق الفندقية - المدينة,"المدينة المنورة
– اعرض على الخارطة",جيد,يقع Qasr Al Balood Hotel Apartments - Al Madina في المدينة المنورة على بعد 8 كم من المسجد النبوي، ويوفر خدمة الواي فاي المجانية. كما تضم بعض الوحدات مطبخ صغير مجهز بثلاجة وموقد مسطح.
فندق مراج طيبه,"وسط المدينة, المدينه المنوره
– اعرض على الخارطة",نقاط التعليقات,يقع فندق مراج طيبة على بعد 5 دقائق فقط سيرًا على الأقدام من المسجد النبوي، ويوفر أماكن إقامة مكيّفة وتتوفر خدمة الواي فاي عند الطلب.
فندق المدينة كونكورد,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",نقاط التعليقات,كونكورد المدينة المنورة فندق حديث يقع على بعد 500 متر عن المسجد النبوي الشريف. يوفر هذا الفندق غرفاً مكيفة مع خدمة الواي فاي المجانية ويضم مطعماً يقدم المأكولات العربية والعالمية.
فندق لـــيدر المنى كريم,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يوفر LEADER Al Muna Kareem Hotel ذو الـ 16 طابق على إقامة أنيقة من فئة 5 نجوم في وسط المدينة. يبعد 70 متراً عن المسجد النبوي ويقدم الواي فاي مجاناً.
أجنحة فرح,"المدينة المنورة
– اعرض على الخارطة",نقاط التعليقات,يقع Farah Suites في المدينة المنورة على بعد 4.4 كم من المسجد النبوي، ويوفر مكان إقامة مع خدمة الواي فاي المجانية.
فندق مراج السلام,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يوفر Mirage As Salam Hotel مكان إقامة في المدينة المنورة، وتتوفر خدمة الواي فاي مجاناً في جميع أنحاء مكان الإقامة.
فندق انوار الحبيب,"المدينة المنورة
– اعرض على الخارطة",جيد,يقع فندق انوار الحبيب في المدينة المنورة، على بعد 3 كم من المسجد النبوي، ويضم صالة مشتركة، كما يبعد مكان الإقامة مسافة 2.8 كم عن مقبرة البقيع ومسافة 3 كم عن مسجد قباء، ويوفر خدمة الواي فاي مجانًا.
نزل المنورة,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يقع نزل المنورة على بُعد أقل من 150 متراً من المسجد النبوي، ويشتمل على مكتب استقبال يعمل على مدار الساعة ويوفر خدمات غسيل وكي الملابس، وتتوفر خدمة الواي فاي في جميع أنحاء مكان الإقامة.
فندق نزل رويال إن,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يقع فندق نزل رويال إن على بعد 100 متر من المسجد النبوي وعلى بعد 10 دقائق بالسيارة من المحطة العامة، كما يحتوي على مطعم في الموقع ويوفر خدمة الغرف على مدار الساعة، كما يوفر الفندق خدمة الواي فاي...
النخبة رويال ان,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يقع النخبة رويال ان على بعد 100 متر من الحرم الشريف، ويوفر غرف ضيوف كلاسيكية مع أرضيات مفروشة بالسجاد، وتكييف الهواء وجهاز تلفزيون بشاشة مسطحة.
فندق جاد المدينة,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يقع هذا الفندق المصنف 4 نجوم في وسط المدينة المنورة، وعلى بعد 180 مترًا فقط من المسجد النبوي، ويوفر غرف أنيقة مع ديكور عصري وخدمات نقل إلى مطار الأمير محمد الدولي.
دار الايمان المنار,"وسط المدينة, المدينة المنورة 
– اعرض على الخارطة",نقاط التعليقات,يقع دار الايمان المنار على بعد 3 دقائق فقط سيراً على الأقدام من المسجد النبوي ويوفر غرف مكيفة مع تلفزيون بشاشة مسطحة.
فندق الواحة,"وسط المدينة, المدينة
– اعرض على الخارطة",نقاط التعليقات,يقع فندق الواحة في قلب المدينة المنورة، وعلى بعد 8 دقائق سيراً على الأقدام من المسجد النبوي، كما يوفر هذا الفندق المصنف 3 نجوم خدمة الواي فاي المجانية ومكتب استقبال يعمل على مدار 24 ساعة وخدمة...
Furnished Units in Tiba Arak,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",استثنائي,يقع Furnished Units in Tiba Arak في المدينة المنورة. تتوفر خدمة الواي فاي المجانية في هذه الشقة، وتقع على بعد 120 م من المسجد النبوي وعلى بعد 1.6 كم من البازار القديم.
Marina Palace Furnished units,"المدينة المنورة
– اعرض على الخارطة",جيد,تقع وحدات مارينا بالاس المفروشة في المدينة المنورة على بعد 2.3 كم من المسجد النبوي، وتوفر أماكن إقامة مكيفة مع خدمة الواي فاي المجانية، بالإضافة إلى تراس.
فندق بدر المرسى,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",نقاط التعليقات,يتمتع فندق بدر المرسى بموقع جيد في المدينة المنورة على بعد 1.4 كم من المسجد النبوي. يقع مكان الإقامة هذا على بعد مسافة قصيرة من مناطق الجذب السياحي مثل البازار القديم. وتتوفر خدمة الواي فاي المجانية.
فندق الحياة جولدن,"وسط المدينة, المدينة المنورة 
– اعرض على الخارطة",نقاط التعليقات,يقع فندق الحياة جولدن في المدينة المنورة ضمن مسافة 5 دَقائق سَيراً عَلى الأقدام من المسجد النبوي الشريف، ويوفر غرف مُكيّفة وخِدمة الواي فاي المجّانية في المناطق العامة.
فندق اتش بلاتينيوم,"المدينة المنورة
– اعرض على الخارطة",جيد جداً,يقع فندق إتش بلاتينيوم في المدينة المنورة على بعد 5 كم من المسجد النبوي وعلى بعد 1.5 كم من مول مازايا، ويوفر غرفاً مع خدمة الواي فاي المجانية.
اجنحه حفاوه,"المدينة المنورة
– اعرض على الخارطة",رائع,يقع Hahawah Suites على بعد 9 كم من المسجد النبوي وعلى بعد 1.2 كم من الراشد ميغا مول، ويوفر مكان إقامة في المدينة المنورة، وتتوفر خدمة الواي فاي المجانية.
فندق ماريوت المدينة,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",نقاط التعليقات,يوفر فندق ماريوت المدينة خدمات نقل مجانية على مدار 24 ساعة في اليوم إلى المسجد النبوي الشريف الواقع على بُعد دقيقتين بالسيارة، ويضم مقهى ومرافق أعمال وخدمة الغرف على مدار 24 ساعة في اليوم.
حلول للوحدات السكنية,"المدينة المنورة
– اعرض على الخارطة",جيد جداً,يقع حلول للوحدات السكنية على بُعد 18 كم من المسجد النبوي و12 كم من حديقة جبل أُحد في المدينة المنورة، ويوفر أماكن إقامة مع خدمة الواي فاي المجانية وتلفزيون بشاشة مسطحة.
فندق برج المختارة (أجنحة) اقتصادية,"المدينة المنورة
– اعرض على الخارطة",نقاط التعليقات,يقع Al-Mukhtara Tower- Economy في المدينة المنورة على بعد 1.7 كم من المسجد النبوي و3 كم من البازار القديم، ويوفر خدمة الواي فاي المجانية.
فندق منارة الأقصى,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",نقاط التعليقات,يقع Manarat Al Aqsa في المدينة المنورة في منطقة المدينة المنورة على بعد 1.5 كم من المسجد النبوي ويتميز بصالة مشتركة، يقع هذا الفندق في موقع مناسب في وسط المدينة المنورة، على بعد 1.6 كم من البازار...
فندق وجن,"المدينة المنورة
– اعرض على الخارطة",جيد,يقع فندق وجن في المدينة المنورة، وضمن مسافة 3.7 كم من المسجد النبوي، وعلى بعد 2.7 كم من مقبرة البقيع، كما يقع هذا الفندق على بعد 3.7 كم تقريبًا من البازار القديم، وعلى مسافة 3.9 كم من مزايا مول، ويوفر...
أجنحة طيبة أراك,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يواجه أجنحة طيبة أراك المسجد النبوي الشريف مباشرة، ويوفر مكان إقامة بالخدمة الذاتية في المدينة المنورة، كما يقع مركز طيبة للتسوق على بعد بضع خطوات من مكان الإقامة.
إيوان دار الهجرة,"المدينة المنورة
– اعرض على الخارطة",جيد جداً,يقع فندق إيوان دار الهجرة في المدينة المنورة، وعلى بعد 1.8 كم من المسجد النبوي، كما يقع مكان الإقامة ضمن مسافة قصيرة من جبل أحد والعديد من مراكز التسوق مثل مزايا مول ومجمع الراشد وغيرها الكثير، فيما...
Holiday Villa Madinah,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",,توفر Holiday Villa مكان إقامة في المدينة المنورة، يقع مكان الإقامة على بعد حوالي 700 م من المسجد النبوي. يقع مكان الإقامة على بعد 1.2 كم من مقبرة البقيع و1.3 كم من مول مازايا.
رامادا المدينة القبلة,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",نقاط التعليقات,يقع رامادا المدينة على مسافة دقيقتين من المسجد النبوي الشريف، ويقدم أماكن إقامة من فئة الـ 4 نجوم.
المختارة جولدن,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",نقاط التعليقات,يقع المختارة جولدن في منطقة المدينة المركزية، على بعد 600 متر من المسجد النبوي وعلى بعد 900 متر من البازار القديم، وتتوفر خدمة الواي فاي مجانًا في المناطق العامة في الفندق.
فندق منازل الأسواف,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يقع فندق منازل الأسواف في المدينة المنورة ويقدم أماكن إقامة مفروشة بشكل بسيط، كما يُوفر استخدام الواي فاي مجانًا في جميع أنحائه، ويبعد المسجد النبوي 5 دقائق سيرا على الأقدام.
فندق جولدن جاردن المدينة,"المدينة المنورة
– اعرض على الخارطة",جيد جداً,يقع فندق جولدن جاردن المدينة في المدينة المنورة، عَلى بُعد 6 كم من المسجد النبوي، ويضم صالة مشتركة، ويبعد الفندق مسافة حوالي 3.1 كم من مسجد قباء، وأيضاً 5 كم من مقبرة البقيع.
Fayrozia Alkhir,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",نقاط التعليقات,يقع Fayrozia Alkhir في المدينة المنورة، ويوفر أماكن إقامة عصرية. وتتوفر خدمة الواي فاي المجانية في المناطق العامة. ويقع المسجد النبوي على بعد 5 دقائق سيرًا على الأقدام من مكان الإقامة.
دار الجفري شقق مفروشة,"المدينة المنورة
– اعرض على الخارطة",نقاط التعليقات,تقع دار الجفري شقق مفروشة في المدينة المنورة، وتوفر خدمة الواي فاي مجانًا. تحتوي جميع الوحدات على منطقة جلوس وتلفزيون بشاشة مسطحة وحمام خاص مزود بمجفف شعر وحوض استحمام أو دش.
فندق طابه السلام,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يقع فندق طابه السلام في المدينة المنورة، ويوفر غرفاً مكيفة الهواء مع خدمة الواي فاي مجاناً، كما يقع مكان الإقامة على بعد حوالي 1.3 كم من المسجد النبوي وعلى بعد 1.7 كم من البازار القديم، ويبعد مركز...
فندق إيلاف طيبة,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد,يقع مقهى ومطعم إيلاف طيبة على بعد بضع دقائق سيراً من الحرم الشريف مباشرة أمام المسجد النبوي المبارك. ويقدم خدمة الواي فاي المجانية في اللوبي.
فندق أصيلة,"المدينة المنورة
– اعرض على الخارطة",رائع,يقع فندق أصيلة في المدينة المنورة على بعد حوالي 2.7 كم من المسجد النبوي و1.7 كم من مول مازايا، ويوفر غرفًا مُزودة بتكييف وحمام خاص. يوفر هذا الفندق ذو النجمتين مكتب استقبال يعمل على مدار 24 ساعة.
فندق ميلينيوم طيبة,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد جداً,يقع فندق ميلينيوم طيبة على بعد بضع خطوات فقط من باب السلام، ويوفر أماكن إقامة عصرية، كما يقدم خدمة الواي فاي مجانًا في جميع أنحاء الفندق وموقف سيارات خاص مجاني وخدمة الغرف على مدار 24 ساعة.
العييري للوحدات السكنية المفروشة - المدينة المنورة 14,"المدينة المنورة
– اعرض على الخارطة",نقاط التعليقات,توفر وحدات العييري السكنية المفروشة - المدينة المنورة 14 أماكن إقامة في المدينة المنورة ضمن مسافة 2.3 كم من المسجد النبوي، وتتوفر خدمة الواي فاي مجاناً.
فندق ديلايتس إن,"المدينة المنورة
– اعرض على الخارطة",رائع,يقع فندق ديلايتس إن في حي العريض في المدينة المنورة، على بعد 3.7 كم من المسجد النبوي وعلى بعد 11 دقيقة سيراً على الأقدام من الراشد ميغا مول، ويوفر هذا الفندق الـ 3 نجوم غرفاً مكيفة الهواء مع حمام خاص،...
alzahra rooms&apartments,"المدينة المنورة
– اعرض على الخارطة",جيد جداً,"يقع Al Madinah Al Munnawarah Province, alzahra rooms&apartments في المدينة المنورة، على بعد 1.5 كم من المسجد النبوي."
فندق ميلينيوم العقيق المدينة,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",جيد جداً,يقع فندق ميلينيوم العقيق المدينة في المدينة المنورة على بعد خطوات قليلة فقط من الحرم النبوي الشريف، ويمكن للضيوف الاستمتاع بخدمة الواي فاي مجاناً في كافة أنحاء مكان الإقامة.
غالية أحد للوحدات السكنية المفروشة,"المدينة المنورة
– اعرض على الخارطة",جيد جداً,يقع فندق غالية أحد للوحدات السكنية المفروشة في المدينة المنورة، على بعد 5 دقائق بالسيارة من المسجد النبوي. يقدم أماكن إقامة ذاتية الخدمة مع خدمة الواي فاي المجانية.
فندق أوبروى,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",رائع,يتمتع فندق Oberoi بموقع مثالي على مقربة من المسجد النبوي والأماكن المقدسة الأخرى في المدينة المنورة، ويوفر أماكن إقامة تتميز بديكور أنيق.
الفنار العالمى المدينة المنورة 1,"المدينة المنورة
– اعرض على الخارطة",نقاط التعليقات,يقع الفنار العالمى المدينة المنورة 1 في المدينة المنورة، ويوفر خدمة الواي فاي المجانية وإطلالات على المدينة، كما يبعد 3.5 كم عن المسجد النبوي.
المكنان للوحدات السكنية,"المدينة المنورة
– اعرض على الخارطة",جيد,يقع Al Meknan Furnished Units على بعد 3.6 كم من المسجد النبوي و2.7 كم من مقبرة البقيع في المدينة المنورة، ويوفر أماكن إقامة مع تلفزيون بشاشة مسطحة. وتتوفر خدمة الواي فاي المجانية.
فندق كرم طيبة الماسي,"وسط المدينة, المدينة المنورة
– اعرض على الخارطة",,يقع فندق كارام في المدينة المنورة، يقع Taibah Almasi على بعد 4.1 كم من المسجد النبوي. يوفر هذا الفندق ذو النجمة الواحدة خدمة الغرف. يقع مكان الإقامة على بعد 1.2 كم من وسط المدينة المنورة.
نرسيان طيبة,"المدينة المنورة
– اعرض على الخارطة",ممتاز,يقع نرسيان طيبة في المدينة المنورة ويحتوي على تراس وصالة مشتركة وخدمة الواي فاي المجانية، كما يقع مكان الإقامة على مسافة قصيرة من مناطق الجذب السياحي مثل مسجد القبلتين، فيما يمكن للموظفين في الموقع...
روشان طيبة,"المدينة المنورة
– اعرض على الخارطة",,يقع Roshan Taybeh في المدينة المنورة على بعد 7 كم من المسجد النبوي و4.1 كم من الراشد ميغا مول و5 كم من مدينة المعرفة الاقتصادية، ويوفر مكان إقامة مكيف للضيوف.
فندق العلياء,"المدينة المنورة
– اعرض على الخارطة",نقاط التعليقات,يوفر Al Alya خدمة الواي فاي المجانية وأماكن إقامة مكيفة في مركز المدينة المنورة. ويحتوي على مكتب استقبال يعمل على مدار 24 ساعة ومصعد. كما تتوفر خدمات نقل مجانية من وإلى المسجد النبوي في أوقات الصلاة.
